dateTime,Q1.lawrence,Q3.wakarusa,Q4.stranger,Q5.desoto,Q2.Farmland,difference
3/6/2018,48.95365122,0.254579831,0.797775986,-47.04718333,0.017223624,2.958823706
3/7/2018,56.34944878,0.23732723,0.726638895,-59.74254867,0.017854525,-2.429133763
3/8/2018,43.48103633,0.223767613,0.699129993,-47.83474433,0.008769537,-3.430810394
3/9/2018,38.53700171,0.219490596,0.67641756,-44.38014836,0.018927059,-4.947238497
3/10/2018,31.11288736,0.216965681,0.658926037,-37.20165569,0.011293145,-5.212876615
3/11/2018,32.92443583,0.215567796,0.64962645,-36.24242609,0.012050227,-2.452796015
3/12/2018,40.68475233,0.213196007,0.683656973,-39.17747267,0.008958808,2.404132647
3/13/2018,38.78713344,0.208031141,0.612434532,-41.95900833,0.008643357,-2.351409215
3/14/2018,39.696614,0.210921814,0.585304844,-41.28648433,0.012428769,-0.793643675
3/15/2018,40.71129933,0.222357672,0.585828495,-42.03569967,0.010536063,-0.516214166
3/16/2018,41.68960544,0.239512933,0.625490486,-43.04448567,0.01621418,-0.489876803
3/17/2018,39.58944278,0.220685211,0.658926037,-43.22441533,0.012554949,-2.755361308
3/18/2018,41.28845078,0.213296296,0.6229696,-43.466288,0.015141647,-1.341571326
3/19/2018,45.57235,3.589523108,2.753283826,-51.77254933,NA,0.142607601
3/20/2018,48.22803322,3.779525887,2.824748283,-81.37245433,0.049651984,-26.54014694
3/21/2018,44.29416111,2.202368617,1.645707523,-59.81629033,0.019873412,-11.67405308
3/22/2018,41.27075278,1.977191063,1.322516353,-53.20608733,0.015583278,-8.63562714
3/23/2018,38.280774,1.162463633,1.152700237,-48.288993,0.016592722,-7.69305513
3/24/2018,38.04578389,0.8344607,1.05134969,-44.43672833,0.015709459,-4.505134054
3/25/2018,40.96988678,0.72022011,0.922390263,-45.19774233,0.011987137,-2.585245182
3/26/2018,44.23713422,1.338091917,1.083292591,-52.91702,0.084414682,-6.25850127
3/27/2018,44.22926844,1.944272783,1.151225403,-65.05489833,0.036213773,-17.7301317
3/28/2018,43.48201956,1.41893715,1.151667853,-55.12927,0.02561462,-9.076645441
3/29/2018,42.81047878,1.427019237,1.061821007,-51.05873,0.014321474,-5.759410979
3/30/2018,41.07115867,1.11223081,0.97454037,-50.14138367,NA,-6.98345382
3/31/2018,38.62096889,1.031852393,0.946052651,-45.457313,NA,-4.858439067
4/1/2018,37.24642422,1.014124897,0.849742457,-45.08860467,NA,-5.978313091
4/2/2018,36.81282322,1.2167375,0.85472491,-42.69052567,NA,-3.806240034
4/3/2018,37.38407533,1.247296047,0.970838195,-43.57837533,NA,-3.976165758
4/4/2018,37.714438,1.00949392,1.027452733,-44.191906,NA,-4.440521347
4/5/2018,37.93173011,0.959025123,0.945309173,-44.05622133,NA,-4.220156926
4/6/2018,36.758746,0.929439967,0.930251125,-43.059234,NA,-4.440796908
4/7/2018,37.15990067,0.88206832,0.829019506,-42.590237,NA,-3.719248507
4/8/2018,37.73606889,0.870505627,0.790982613,-42.60203567,NA,-3.204478538
4/9/2018,36.68598756,0.891064803,0.837147578,-42.342465,NA,-3.928265063
4/10/2018,37.59251844,0.846878797,0.807286225,-42.156636,NA,-2.909952533
4/11/2018,37.76359911,0.832041973,0.805006171,-42.65512967,NA,-3.254482411
4/12/2018,36.378239,0.82782395,0.810934566,-42.599086,NA,-4.582088484
4/13/2018,35.25146633,0.843958627,0.825277404,-41.395622,NA,-4.474919636
4/14/2018,33.95262978,0.90560666,1.13276745,-46.83185767,NA,-10.84085378
4/15/2018,34.72839211,0.828738347,0.94907956,-40.84108467,NA,-4.334874648
4/16/2018,35.90629233,0.787236537,0.845889089,-42.84980767,NA,-5.310389707
4/17/2018,36.04492667,5.703298487,0.788917847,-41.10065533,NA,1.436487667
4/18/2018,32.43551789,0.83658446,0.784095304,-43.705211,NA,-9.649013347
4/19/2018,33.6262,0.252842477,0.724224515,-38.77926767,NA,-4.176000674
4/20/2018,33.81792833,0.209093021,0.670246344,-38.56689167,NA,-3.869623968
4/21/2018,32.43748433,0.193678063,0.676085955,-37.493213,NA,-4.185964648
4/22/2018,35.626074,0.230094648,0.680606087,-38.466603,NA,-1.929828266
4/23/2018,35.25933211,0.234575191,0.680855101,-40.44582933,NA,-4.27106693
4/24/2018,34.502251,0.205223058,0.653996287,-39.41639567,NA,-4.054925321
4/25/2018,35.27506367,0.974513823,0.702829001,-38.96509667,NA,-2.012690176
4/26/2018,40.059423,0.888911547,0.965125631,-43.92938567,NA,-2.015925489
4/27/2018,39.271862,0.777679617,0.973537483,-44.53406733,NA,-3.510988233
4/28/2018,43.30602278,0.731428843,0.921859323,-46.342213,NA,-1.382902056
4/29/2018,36.64469222,0.64978207,0.857453174,-44.30399333,NA,-6.152065867
4/30/2018,38.45087144,0.622940103,0.783260763,-41.85577,NA,-1.99869769
5/1/2018,38.19916656,0.63252652,0.731495382,-42.855707,NA,-3.292518542
5/2/2018,41.599149,1.033622193,3.595300079,-42.501747,NA,3.726324272
5/3/2018,84.41159422,1.513061013,31.08230811,-70.23746267,NA,46.76950068
5/4/2018,195.0791547,0.898468467,42.61383433,-218.7708773,NA,19.82058013
5/5/2018,112.8483473,0.861597633,17.77085677,-178.0890747,NA,-46.60827293
5/6/2018,81.05487356,0.823959887,6.893960933,-103.427112,NA,-14.65431762
5/7/2018,93.33826878,0.779360927,4.141921933,-87.07121033,NA,11.1883413
5/8/2018,134.3258536,0.74234261,3.021962997,-124.3962923,NA,13.69386683
5/9/2018,115.072396,0.643646763,2.459786027,-124.6499637,NA,-6.474134877
5/10/2018,112.1827059,0.57713178,2.10261089,-115.0487987,NA,-0.186350108
5/11/2018,98.763689,0.557487,1.780083469,-105.3414457,NA,-4.240186197
5/12/2018,90.78975678,0.54297464,1.566039537,-95.19459233,NA,-2.295821379
5/13/2018,81.29871267,0.532296847,1.394130453,-85.79695433,NA,-2.571814367
5/14/2018,79.04418411,0.53748826,1.22429055,-79.66164767,NA,1.144315254
5/15/2018,76.89682678,0.527695367,1.101729997,-76.85061533,NA,1.675636808
5/16/2018,73.66890822,0.528491777,1.047198355,-75.490819,NA,-0.246220646
5/17/2018,51.87578767,0.55085025,1.157012398,-63.04322567,NA,-9.459575352
5/18/2018,43.83499633,0.511885153,1.972825557,-51.14427033,NA,-4.82456329
5/19/2018,44.39051689,1.236972213,2.646965043,-47.899637,NA,0.374817145
5/20/2018,48.377483,0.989170717,2.213358049,-49.828719,NA,1.751292765
5/21/2018,65.77068411,0.77242921,1.949936143,-59.59211567,NA,8.900933798
5/22/2018,65.63204978,0.643027333,1.339712519,-66.464839,NA,1.14995063
5/23/2018,57.96488289,0.577898693,1.066678952,-61.39141233,NA,-1.781951799
5/24/2018,55.200062,0.625506313,0.897427106,-57.22058367,NA,-0.497588247
5/25/2018,57.55881211,0.664677887,0.827603666,-57.589292,NA,1.461801664
5/26/2018,53.86877911,0.54545236,0.708814215,-57.5185,NA,-2.395454314
5/27/2018,52.06554956,0.5176665,0.61615587,-53.209037,NA,-0.009665074
5/28/2018,49.41084956,0.4981987,0.570599428,-51.908234,NA,-1.428586316
5/29/2018,49.90934322,0.48864178,0.514311411,-49.926058,NA,0.986238413
5/30/2018,51.70569022,0.49342024,0.488925771,-50.07944067,NA,2.608595567
5/31/2018,54.86085033,0.473126533,0.42395559,-53.403715,NA,2.354217457
6/1/2018,54.12736656,0.465663877,0.355611813,-52.72824133,NA,2.220400912
6/2/2018,54.50984,0.543623567,0.770089693,-53.38306733,NA,2.440485927
6/3/2018,66.29474156,0.49165044,1.19696604,-59.828089,NA,8.155269035
6/4/2018,67.42151422,0.482417983,1.19426104,-66.84829567,NA,2.249897579
6/5/2018,46.93116311,0.473008547,1.047426633,-56.02006933,NA,-7.568471042
6/6/2018,39.61304011,0.51023334,0.620904833,-47.31855267,NA,-6.574374382
6/7/2018,37.85307233,0.5167816,0.441594597,-41.66404167,NA,-2.852593137
6/8/2018,43.315855,0.5150118,0.358609917,-42.174334,NA,2.015142717
6/9/2018,46.38350833,0.5035081,0.308316015,-46.76401533,NA,0.431317115
6/10/2018,46.64996156,0.50687072,0.294187453,-46.98524033,NA,0.465779395
6/11/2018,50.12565211,0.49005762,0.246671774,-48.12381167,NA,2.738569839
6/12/2018,63.01176256,3.83205945,0.439142661,-60.43572033,NA,6.847244334
6/13/2018,70.30038889,0.875933013,0.40838135,-67.969169,NA,3.615534252
6/14/2018,64.48167978,0.6362431,1.226102692,-66.17577167,NA,0.168253903
6/15/2018,59.34532689,0.54545236,0.884762983,-61.85745967,NA,-1.081917435
