Author,Date ,Journal,stream,gpp_gm2d,er_gm2d,q_Ls
Hunt,2013,Freshwater Biol,GMB,2.28,4.41,115000
Hunt,2014,Freshwater Biol,KGS,4.11,17.4,226000
Rasmussen,2011,aquatic ecology,s1,13,25.5,26
Rasmussen,2012,aquatic ecology,s2,9.6,14.7,31
Rasmussen,2013,aquatic ecology,s3,2.4,9.4,43
Rasmussen,2014,aquatic ecology,s4,0.66,5.6,22
Rosa,2012,Environ Poll,Agua Limpia R,1.7,5.4,78
Rosa,2012,Environ Poll,Agua Limpia I,4.9,10.2,83
Rosa,2012,Environ Poll,Correlas R,1.5,4.2,131
Rosa,2012,Environ Poll,Correlas I,1.1,9.3,135
Rosa,2012,Environ Poll,Chaparrals R,0.2,2.7,138
Rosa,2012,Environ Poll,Chaparrals I,2.7,8.4,141
Silvia Junior,2014,Ecological Indicators,AL,1.6,5.2,3.2
Silvia Junior,2014,Ecological Indicators,B1,0.1,1.8,20
Silvia Junior,2014,Ecological Indicators,B2,0,2.4,16
Silvia Junior,2014,Ecological Indicators,Pa,0.1,2.2,10
Silvia Junior,2014,Ecological Indicators,Ca,0.6,2.2,48
Silvia Junior,2014,Ecological Indicators,Fl,0,1.8,3
Silvia Junior,2014,Ecological Indicators,Ib,0.6,3.1,2
Silvia Junior,2014,Ecological Indicators,Inh,0.7,6.4,259
Silvia Junior,2014,Ecological Indicators,Inv,0.3,4.8,111
Silvia Junior,2014,Ecological Indicators,Na,0.9,3.3,39
Silvia Junior,2014,Ecological Indicators,Pi,0.3,15,258
Silvia Junior,2014,Ecological Indicators,Ac,0.3,5.7,102
Silvia Junior,2014,Ecological Indicators,Ma,0.1,8.7,2
Silvia Junior,2014,Ecological Indicators,SA,1.4,3.3,57
Silvia Junior,2014,Ecological Indicators,Pe,0.5,1.8,22
Silvia Junior,2014,Ecological Indicators,Co,1.3,7.7,80
Griffiths,2013,L&O,Shatto,4.6,10.5,63
