MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519085280,           2018-02-20 00:08:00,           2018-02-19 18:08:00,      3.480000,      7.544000,          0.058000,                     0.498870,      0.968000
                1519085880,           2018-02-20 00:18:00,           2018-02-19 18:18:00,      3.480000,      7.582000,          0.056000,                     0.482120,      0.968000
                1519086480,           2018-02-20 00:28:00,           2018-02-19 18:28:00,      3.480000,      7.554000,          0.055000,                     0.473183,      0.968000
                1519087080,           2018-02-20 00:38:00,           2018-02-19 18:38:00,      3.480000,      7.525000,          0.053000,                     0.455651,      0.968000
                1519087680,           2018-02-20 00:48:00,           2018-02-19 18:48:00,      3.480000,      7.554000,          0.053000,                     0.455977,      0.968000
                1519088280,           2018-02-20 00:58:00,           2018-02-19 18:58:00,      3.480000,      7.554000,          0.054000,                     0.464580,      0.968000
                1519088880,           2018-02-20 01:08:00,           2018-02-19 19:08:00,      3.480000,      7.544000,          0.051000,                     0.438662,      0.968000
                1519089480,           2018-02-20 01:18:00,           2018-02-19 19:18:00,      3.480000,      7.525000,          0.051000,                     0.438456,      0.968000
                1519090080,           2018-02-20 01:28:00,           2018-02-19 19:28:00,      3.480000,      7.525000,          0.049000,                     0.421262,      0.968000
                1519090680,           2018-02-20 01:38:00,           2018-02-19 19:38:00,      3.480000,      7.516000,          0.049000,                     0.421168,      0.968000
                1519091280,           2018-02-20 01:48:00,           2018-02-19 19:48:00,      3.480000,      7.544000,          0.048000,                     0.412858,      0.968000
                1519091880,           2018-02-20 01:58:00,           2018-02-19 19:58:00,      3.480000,      7.516000,          0.049000,                     0.421168,      0.968000
                1519092480,           2018-02-20 02:08:00,           2018-02-19 20:08:00,      3.480000,      7.535000,          0.047000,                     0.404167,      0.968000
                1519093080,           2018-02-20 02:18:00,           2018-02-19 20:18:00,      3.480000,      7.535000,          0.047000,                     0.404167,      0.968000
                1519093680,           2018-02-20 02:28:00,           2018-02-19 20:28:00,      3.470000,      7.506000,          0.046000,                     0.395285,      0.968000
                1519094280,           2018-02-20 02:38:00,           2018-02-19 20:38:00,      3.470000,      7.525000,          0.045000,                     0.386873,      0.968000
                1519094880,           2018-02-20 02:48:00,           2018-02-19 20:48:00,      3.470000,      7.544000,          0.046000,                     0.395656,      0.968000
                1519095480,           2018-02-20 02:58:00,           2018-02-19 20:58:00,      3.470000,      7.535000,          0.046000,                     0.395568,      0.968000
                1519096080,           2018-02-20 03:08:00,           2018-02-19 21:08:00,      3.470000,      7.497000,          0.044000,                     0.378015,      0.968000
                1519096680,           2018-02-20 03:18:00,           2018-02-19 21:18:00,      3.470000,      7.535000,          0.044000,                     0.378369,      0.968000
                1519097280,           2018-02-20 03:28:00,           2018-02-19 21:28:00,      3.470000,      7.563000,          0.044000,                     0.378631,      0.968000
                1519097880,           2018-02-20 03:38:00,           2018-02-19 21:38:00,      3.470000,      7.535000,          0.045000,                     0.386969,      0.968000
                1519098480,           2018-02-20 03:48:00,           2018-02-19 21:48:00,      3.470000,      7.544000,          0.044000,                     0.378453,      0.968000
                1519099080,           2018-02-20 03:58:00,           2018-02-19 21:58:00,      3.470000,      7.535000,          0.044000,                     0.378369,      0.968000
                1519099680,           2018-02-20 04:08:00,           2018-02-19 22:08:00,      3.470000,      7.535000,          0.045000,                     0.386969,      0.968000
