MiniDOT Logger Concatenated Data File
Sensor:             7392-080779
Concatenation Date: 2018Apr22 17:19:16 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 249.02 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1517370840,           2018-01-31 03:54:00,           2018-01-30 21:54:00,      3.470000,      1.912000,         13.320000,                    98.991562,      0.996000
                1517371440,           2018-01-31 04:04:00,           2018-01-30 22:04:00,      3.470000,      1.965000,         13.299000,                    98.978938,      0.997000
                1517372040,           2018-01-31 04:14:00,           2018-01-30 22:14:00,      3.470000,      1.986000,         13.418000,                    99.921969,      0.996000
                1517372640,           2018-01-31 04:24:00,           2018-01-30 22:24:00,      3.470000,      2.314000,         13.526000,                   101.630747,      0.997000
                1517373240,           2018-01-31 04:34:00,           2018-01-30 22:34:00,      3.460000,      2.504000,         13.562000,                   102.427749,      0.997000
                1517373840,           2018-01-31 04:44:00,           2018-01-30 22:44:00,      3.460000,      2.535000,         13.505000,                   102.082876,      0.996000
                1517374440,           2018-01-31 04:54:00,           2018-01-30 22:54:00,      3.460000,      2.451000,         13.401000,                   101.066580,      0.996000
                1517375040,           2018-01-31 05:04:00,           2018-01-30 23:04:00,      3.460000,      2.462000,         13.394000,                   101.043904,      0.996000
                1517375640,           2018-01-31 05:14:00,           2018-01-30 23:14:00,      3.460000,      2.546000,         13.406000,                   101.364710,      0.996000
                1517376240,           2018-01-31 05:24:00,           2018-01-30 23:24:00,      3.460000,      2.525000,         13.478000,                   101.851218,      0.997000
                1517376840,           2018-01-31 05:34:00,           2018-01-30 23:34:00,      3.460000,      2.577000,         13.472000,                   101.949188,      0.996000
                1517377440,           2018-01-31 05:44:00,           2018-01-30 23:44:00,      3.460000,      2.682000,         13.512000,                   102.542315,      0.995000
                1517378040,           2018-01-31 05:54:00,           2018-01-30 23:54:00,      3.460000,      2.608000,         13.514000,                   102.352754,      0.995000
                1517378640,           2018-01-31 06:04:00,           2018-01-31 00:04:00,      3.460000,      2.619000,         13.510000,                   102.352876,      0.995000
                1517379240,           2018-01-31 06:14:00,           2018-01-31 00:14:00,      3.460000,      2.619000,         13.508000,                   102.337724,      0.996000
                1517379840,           2018-01-31 06:24:00,           2018-01-31 00:24:00,      3.460000,      2.535000,         13.446000,                   101.636901,      0.995000
                1517380440,           2018-01-31 06:34:00,           2018-01-31 00:34:00,      3.450000,      2.567000,         13.413000,                   101.475263,      0.996000
                1517381040,           2018-01-31 06:44:00,           2018-01-31 00:44:00,      3.460000,      2.504000,         13.354000,                   100.856818,      0.995000
                1517381640,           2018-01-31 06:54:00,           2018-01-31 00:54:00,      3.450000,      2.546000,         13.301000,                   100.570790,      0.994000
                1517382240,           2018-01-31 07:04:00,           2018-01-31 01:04:00,      3.450000,      2.535000,         13.274000,                   100.336771,      0.996000
                1517382840,           2018-01-31 07:14:00,           2018-01-31 01:14:00,      3.450000,      2.567000,         13.208000,                    99.924347,      0.996000
                1517383440,           2018-01-31 07:24:00,           2018-01-31 01:24:00,      3.450000,      2.525000,         13.188000,                    99.659732,      0.996000
                1517384040,           2018-01-31 07:34:00,           2018-01-31 01:34:00,      3.450000,      2.451000,         13.158000,                    99.233942,      0.996000
                1517384640,           2018-01-31 07:44:00,           2018-01-31 01:44:00,      3.450000,      2.493000,         13.071000,                    98.690044,      0.995000
                1517385240,           2018-01-31 07:54:00,           2018-01-31 01:54:00,      3.450000,      2.483000,         13.035000,                    98.391581,      0.996000
