"","date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
"1",2018-02-19,NA,NA,NA,NA,NA,NA,"w     E","",""
"2",2018-02-20,0.278925313121159,-1.91450688372805,2.50738731868521,-0.243964317012971,-4.44155002319409,3.87298154233663,"w      ","",""
"3",2018-02-21,0.365553668527975,-1.96594701759481,2.54759195849153,-0.674075681702442,-5.08687111000346,3.63382198985562,"w      ","",""
"4",2018-02-22,0.376239721561598,-2.31721168142999,3.29349253197138,-1.03726284237724,-6.22730189009692,3.21302963894407,"w      ","",""
"5",2018-02-23,0.131434407439608,-1.12162124747163,1.50237510371577,-1.38812044364849,-5.41836982834181,2.43904450832344,"w      ","",""
"6",2018-02-24,0.377619658005121,-2.3718481392334,3.12744755202273,-1.91018702932502,-6.55408335578447,2.78158892105123,"w      ","",""
"7",2018-02-25,0.336253368140473,-2.38793615209438,3.05270857661415,-2.30060327653481,-7.24523730647425,2.28041198435086,"w      ","",""
"8",2018-02-26,0.363270507903391,-2.35479672554398,3.2711024842743,-3.04897846188431,-7.87253458265812,1.75155532759444,"w      ","",""
"9",2018-02-27,0.333028086724107,-2.49944569666666,3.2213122472129,-3.35509471036829,-8.62305226920378,1.31214841173675,"w      ","",""
"10",2018-02-28,0.404470004891318,-2.36815128899507,3.15028156514249,-4.11417474565501,-9.41142271477948,0.835252745611824,"w      ","",""
"11",2018-03-01,0.360579856357705,-2.46669371166055,3.31949673782541,-4.92626896220335,-10.4289946376905,0.718671973855759,"w      ","",""
"12",2018-03-02,0.239439164198619,-2.38754862360436,2.90000992955451,-5.30059713886432,-11.0792808898468,0.208877247282964,"w      ","",""
"13",2018-03-03,0.283039502090638,-2.53157625692883,3.12745813585954,-6.22671680642891,-11.7254716427515,-0.528995912567612,"w      ","",""
"14",2018-03-04,0.219766630096943,-2.67179071901701,2.82802188185681,-7.26703023621252,-13.1466931616532,-1.09622062244953,"w      ","",""
"15",2018-03-05,0.233305879554788,-2.55025986207969,3.04497330763401,-8.12465712451119,-13.9068453206514,-2.24870689355554,"w      ","",""
"16",2018-03-06,0.392925271180024,-2.81733521428908,3.64114880315028,-7.98258745590739,-14.538704829599,-1.79609027217234,"w      ","",""
"17",2018-03-07,0.115194073826312,-2.75545341125054,2.59449881860176,-6.41811713804687,-13.68550294208,-0.53465472264848,"w      ","",""
"18",2018-03-08,0.00650560902016916,-2.58203525987544,2.49093776068024,-9.47070300044907,-16.4813775161267,-3.07915941177033,"w      ","",""
"19",2018-03-09,-0.113878564598042,-2.50185053158702,2.34999064176437,-11.1715838021833,-17.6638485057418,-4.78144053461216,"w      ","",""
"20",2018-03-10,-0.0717850829740351,-2.66095761621959,2.41520053070507,-14.8261680249527,-22.4246358380104,-7.08982539389014,"w      ","",""
"21",2018-03-11,-0.10081077794696,-2.80707743539235,2.41582186705168,-14.5476814317054,-22.0637460454557,-6.18639234226366,"w      ","",""
"22",2018-03-12,-2.07740329172666,-4.36055219354955,0.235102741493946,-13.2200966020163,-19.9957941304844,-6.12038294036597,"w      ","",""
"23",2018-03-13,-5.9481813558127,-8.60660690669659,-3.37957092906228,-7.55803775742758,-13.9793295858106,-1.33987048405954,"w      ","",""
"24",2018-03-14,-6.92228972334651,-9.38425592046554,-4.25893008076738,-6.99713966063062,-14.4012784980634,-0.170885969804644,"w      ","",""
"25",2018-03-15,-8.43605336301692,-11.0943377192463,-5.68245564314929,-8.57858665090862,-15.3702154876508,-1.88562405432627,"w      ","",""
"26",2018-03-16,-2.05945445140542,-3.74407485889248,-0.276040661444941,-10.5078140555896,-16.5344684750789,-4.24821436673931,"w      ","",""
"27",2018-03-17,-6.94154936887878,-9.52421533355262,-4.04238847611918,-5.98765850751271,-12.1648706254194,-0.314632169224704,"w      ","",""
"28",2018-03-18,-5.72492290713696,-7.88665521840214,-3.66175996944796,-6.58581270395562,-13.4584354218699,-0.0421816317391913,"w      ","",""
"29",2018-03-19,-1.71329844651237,-3.91600492595885,0.600982609091679,-7.11256219020936,-13.3405190923187,-0.752844753802142,"w      ","",""
"30",2018-03-20,-2.39064286036782,-4.94085780780518,0.0426911611465599,-4.87820453307623,-11.0600709804146,1.1737922238725,"w      ","",""
"31",2018-03-21,-6.87098343754376,-9.64369165483183,-4.05772943917322,-4.11414806807372,-11.2341029490358,3.05527502996958,"w      ","",""
"32",2018-03-22,-6.64493223930864,-9.13661466781549,-4.06799032357259,-9.08138301586916,-16.0855533965456,-1.56198350716657,"w      ","",""
"33",2018-03-23,-4.46977225413962,-6.7272693933579,-2.34359000225973,-10.1520414071303,-17.1343471664127,-3.71042139067186,"w      ","",""
"34",2018-03-24,-5.34716861222288,-8.58200494036812,-2.39092861736346,-7.39124397294236,-14.063643520901,-0.727899054788444,"w      ","",""
"35",2018-03-25,-6.80653229652865,-9.3282402591893,-4.30498226648939,-4.56233769267267,-11.0400236877767,1.30619271894604,"w      ","",""
"36",2018-03-26,-3.68368739649102,-6.70455098780916,-0.693017309825686,-6.96700315956345,-13.1969078258599,-0.847841364845141,"w      ","",""
"37",2018-03-27,-6.65286015373405,-9.60615791608175,-3.70290556876293,-4.0873229080359,-11.1928654282694,2.15108357509983,"w      ","",""
"38",2018-03-28,-0.0884445511081584,-2.27064278185482,1.96411253770218,-8.4653844056203,-14.611890485427,-1.65749133667919,"w      ","",""
"39",2018-03-29,-7.28980479428816,-10.1664135230195,-4.34292779488639,-5.8900637775066,-13.0671893903861,1.33850743811674,"w      ","",""
"40",2018-03-30,-7.49893595255752,-10.2375040020152,-4.98023996181023,-4.96474342128985,-12.2552433207385,1.85077787830609,"w      ","",""
"41",2018-03-31,0.0191229426318661,-2.91494169020844,2.47277370777377,-10.5832128446034,-17.3397366750238,-4.23805125008024,"w      ","",""
"42",2018-04-01,0.0111074615066553,-3.23128397350023,2.90573785071651,-11.7111290654975,-18.4981502042904,-4.4045907462115,"w      ","",""
"43",2018-04-02,-0.0135959325052119,-2.6543897267622,2.81785872026636,-12.0196800626025,-19.0336046430476,-5.2298159237192,"w      ","",""
"44",2018-04-03,0.0129785103206186,-2.91841430215099,2.67797273414819,-12.3960505756364,-19.340175032788,-4.467974530286,"w      ","",""
"45",2018-04-04,-0.0550085980205317,-2.77118500713405,2.72481633403452,-12.7441940815294,-20.0498323355023,-3.90716449574256,"w      ","",""
"46",2018-04-05,-2.81188781420528,-5.61532096099531,0.118906494695196,-16.0880437214578,-23.0557760193177,-8.82326233916166,"w      ","",""
"47",2018-04-06,-4.98180014573857,-7.58888776737108,-2.2838179607173,-11.8282723602222,-18.6094669488533,-5.40228639596081,"w      ","",""
"48",2018-04-07,-7.97570118471898,-10.8346605078814,-5.22445265530941,-6.20736517793489,-12.9128399562854,0.0537583487289357,"w      ","",""
"49",2018-04-08,0.487425575080204,-1.75350197092025,2.95420594805473,-12.5403514962543,-19.1482467331666,-6.58255970081769,"w      ","",""
"50",2018-04-09,-5.53342426678195,-8.50818126417718,-2.47375525361854,-7.26272883847438,-13.6725981187483,-0.933395416822659,"w      ","",""
"51",2018-04-10,-4.34634138388805,-7.18862811299693,-1.39635043335005,-9.44742204156099,-16.396394609501,-2.13520914622892,"w      ","",""
"52",2018-04-11,-2.75258255929403,-5.81541714432485,0.476255325790362,-11.8221484975676,-18.4310060471912,-3.09340737661066,"w      ","",""
"53",2018-04-12,-1.99304552946327,-4.94738169267427,1.02872228792427,-13.8029084231067,-20.4218179527349,-6.85464316263034,"w      ","",""
"54",2018-04-13,-4.73506870326416,-7.0693372994979,-2.38559404113004,-11.9206604575905,-18.2186832788893,-5.31715277209622,"w      ","",""
"55",2018-04-14,2.04972940939674,-0.886044156744272,4.90882664218457,-18.9302234446176,-25.2319123992447,-11.9483416939903,"w      ","",""
"56",2018-04-15,-0.108900115297557,-2.90383621823089,2.89077221840825,-12.408235105826,-18.8870256344358,-5.37771608087781,"w      ","",""
"57",2018-04-16,-0.363169224651171,-2.99079201468255,2.15296306473093,-13.4610697790902,-20.9570584882348,-5.92462007673462,"w      ","",""
"58",2018-04-17,5.06783074179419,2.25308848145659,7.91606462197623,-15.2539017082552,-23.5495941575123,-7.85342306433605,"w      ","",""
"59",2018-04-18,-6.26912144704918,-9.47249169898047,-3.22936574618146,-9.29997779852732,-15.9534287754054,-2.837078088282,"w      ","",""
"60",2018-04-19,-9.38594867720109,-12.1414382447756,-6.49274988049536,-8.2383057274315,-15.1854252841112,-0.467519043011506,"w      ","",""
"61",2018-04-20,-8.01826244811113,-10.7298541374116,-5.06794821456201,-10.1753009224483,-16.7857775736397,-3.66655419675869,"w      ","",""
"62",2018-04-21,-6.39065612874669,-8.99225195679264,-3.66219265061084,-10.9724318301869,-17.8228747469403,-4.50078623086974,"w      ","",""
"63",2018-04-22,-4.95265523111463,-7.273918722463,-2.49074277520797,-8.20324665098349,-14.344531284432,-1.93224094766254,"w      ","",""
"64",2018-04-23,-11.2224833127474,-14.2864279754473,-8.32388891910775,-8.5363762195105,-15.3960027301777,-1.98330062361743,"w      ","",""
"65",2018-04-24,-11.2549489684449,-14.1549071570919,-8.32460219503649,-9.92352560923659,-16.7276896922519,-3.1918982065632,"w      ","",""
"66",2018-04-25,-0.432237328553364,-2.85478312267076,1.97536469221779,-8.90962072223437,-15.5471015231655,-2.11108559829071,"w      ","",""
"67",2018-04-26,-0.0953298049706885,-3.04707908012152,2.83040959039342,-9.61087729324135,-16.2553288896056,-3.1912766082736,"w      ","",""
"68",2018-04-27,-4.26059496686466,-6.69948628640099,-2.07839103960423,-9.27622474012139,-15.9516629552583,-2.76663817301683,"w      ","",""
"69",2018-04-28,-0.294709721598765,-3.10257859382113,2.56673506440663,-10.9185958992597,-18.179178680323,-4.29086453107103,"w      ","",""
"70",2018-04-29,-0.232715711960859,-2.98832571980816,2.74288149758264,-12.9560472251047,-19.8645738646126,-5.25410429512752,"w      ","",""
"71",2018-04-30,-0.00618175672270351,-3.06404439158143,2.7972324926835,-13.2024307856267,-20.2046566629083,-5.42876768874001,"w      ","",""
"72",2018-05-01,-5.71861229936534,-8.48645118912777,-2.82450988577435,-13.1831372723807,-20.2950205663795,-6.45565182331758,"w      ","",""
"73",2018-05-02,-8.18565694969112,-10.7571908016209,-5.60544429999234,-6.80723705381787,-13.2055291090219,-0.0228723245486496,"w      ","",""
"74",2018-05-03,-1.59401183070623,-4.26773412871344,0.990487365278244,-5.48984441291069,-12.2851060545719,0.858026737773167,"w      ","",""
"75",2018-05-04,-2.60025094037849,-5.20489897660794,-0.0143617162653101,-11.6749823944901,-21.6903169175942,-2.89680250155361,"w      ","",""
"76",2018-05-05,-0.493501903303515,-2.94233877743,1.98832982067023,-7.47977276611543,-15.4712304436935,-0.05511032135432,"w      ","",""
"77",2018-05-06,0.173921755878667,-2.70605234268968,3.16223362393169,-6.76106186601436,-14.3113960252391,0.125072697162387,"w      ","",""
"78",2018-05-07,-4.02687331471906,-6.20297963264423,-1.84709514495353,-7.93067473548865,-16.2117950416625,0.359550343773079,"w      ","",""
"79",2018-05-08,-1.78277665531035,-4.95129342893137,1.33810065228229,-10.9301122254198,-20.4688720830075,-1.9052394013511,"w      ","",""
"80",2018-05-09,-0.10608157946907,-2.03000037060209,1.82505485047042,-10.1146215468566,-18.4079204349522,-2.06031755506179,"w      ","",""
"81",2018-05-10,0.0498878634269335,-2.26083404779551,2.24217891576249,-10.2055498123601,-19.2263915470821,-2.36464281536946,"w      ","",""
"82",2018-05-11,0.148113489931231,-2.49775230492867,2.53241188669774,-9.45762124028819,-17.5832444638762,-1.68411223302855,"w      ","",""
