DateTime,tz_cd,GageHeight_ft
1/4/2018 2:30,CST,6.18
1/4/2018 2:45,CST,6.16
1/4/2018 3:00,CST,6.14
1/4/2018 3:15,CST,6.13
1/4/2018 3:30,CST,6.11
1/4/2018 3:45,CST,6.09
1/4/2018 4:00,CST,6.07
1/4/2018 4:15,CST,6.06
1/4/2018 4:30,CST,6.04
1/4/2018 4:45,CST,6.03
1/4/2018 5:00,CST,6.03
1/4/2018 5:15,CST,6.01
1/4/2018 5:30,CST,6
1/4/2018 5:45,CST,5.99
1/4/2018 6:00,CST,5.98
1/4/2018 6:15,CST,5.98
1/4/2018 6:30,CST,5.97
1/4/2018 6:45,CST,5.97
1/4/2018 7:00,CST,5.96
1/4/2018 7:15,CST,5.96
1/4/2018 7:30,CST,5.96
1/4/2018 7:45,CST,5.95
1/4/2018 8:00,CST,5.95
1/4/2018 8:15,CST,5.95
1/4/2018 8:30,CST,5.96
1/4/2018 8:45,CST,5.96
1/4/2018 9:00,CST,5.97
1/4/2018 9:15,CST,5.96
1/4/2018 9:30,CST,5.98
1/4/2018 9:45,CST,5.98
1/4/2018 10:00,CST,5.98
1/4/2018 10:15,CST,5.98
1/4/2018 10:30,CST,5.99
1/4/2018 10:45,CST,6
1/4/2018 11:00,CST,6.01
1/4/2018 11:15,CST,6
1/4/2018 11:30,CST,6.01
1/4/2018 11:45,CST,6.01
1/4/2018 12:00,CST,6.02
1/4/2018 12:15,CST,6.03
1/4/2018 12:30,CST,6.03
1/4/2018 12:45,CST,6.03
1/4/2018 13:00,CST,6.04
1/4/2018 13:15,CST,6.04
1/4/2018 13:30,CST,6.04
1/4/2018 13:45,CST,6.05
1/4/2018 14:00,CST,6.03
1/4/2018 14:15,CST,6.02
1/4/2018 14:30,CST,6.04
1/4/2018 14:45,CST,6.04
1/4/2018 15:00,CST,6.05
1/4/2018 15:15,CST,6.07
1/4/2018 15:30,CST,6.08
1/4/2018 15:45,CST,6.1
1/4/2018 16:00,CST,6.11
1/4/2018 16:15,CST,6.13
1/4/2018 16:30,CST,6.15
1/4/2018 16:45,CST,6.17
1/4/2018 17:00,CST,6.19
