DateTime_UTC,region,site,variable,value,flagtype,flagcomment
2/20/2018 2:15,KS,KANSASREASTLAWRENCE,DOsat_pct,0.378369,Bad Data,sensor buried
2/20/2018 2:15,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.7752,,
2/20/2018 2:15,KS,KANSASREASTLAWRENCE,Light_PAR,106.645,,
2/20/2018 2:15,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.77704,,
2/20/2018 2:15,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.535,,
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.164,,
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,DO_mgL,0.0445,Bad Data,sensor buried
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,DOsat_pct,0.3828,Bad Data,sensor buried
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,Light_PAR,80.66,,
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.79008,,
2/20/2018 2:30,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.549,,
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.1435,,
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,DO_mgL,0.044,Bad Data,sensor buried
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,DOsat_pct,0.378453,Bad Data,sensor buried
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,Light_PAR,74.955,,
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.79181,,
2/20/2018 2:45,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.544,,
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.1681,,
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,DO_mgL,0.0445,Bad Data,sensor buried
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,DOsat_pct,0.382669,Bad Data,sensor buried
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.7752,,
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,Light_PAR,46.85,,
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.79893,,
2/20/2018 3:00,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.535,,
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.1689,,
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,DO_mgL,0.044,Bad Data,sensor buried
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,DOsat_pct,0.378276,Bad Data,sensor buried
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,Light_PAR,60.13,,
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.81321,,
2/20/2018 3:15,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.525,,
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.1885,,
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,DO_mgL,0.0435,Bad Data,sensor buried
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,DOsat_pct,0.374025,Bad Data,sensor buried
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,Light_PAR,54.045,,
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.81378,,
2/20/2018 3:30,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.53,,
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.213,,
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,DO_mgL,0.043,Bad Data,sensor buried
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,DOsat_pct,0.36977,Bad Data,sensor buried
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,Light_PAR,28.005,,
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.80033,,
2/20/2018 3:45,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.535,,
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.2253,,
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,DO_mgL,0.042,Bad Data,sensor buried
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,DOsat_pct,0.360956,Bad Data,sensor buried
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.7752,,
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,Light_PAR,23.635,,
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.77072,,
2/20/2018 4:00,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.511,,
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.231,,
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,DO_mgL,0.041,Bad Data,sensor buried
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,DOsat_pct,0.352485,Bad Data,sensor buried
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,Light_PAR,17.095,,
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.75979,,
2/20/2018 4:15,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.525,,
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.2474,,
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,DO_mgL,0.0405,Bad Data,sensor buried
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,DOsat_pct,0.348146,Bad Data,sensor buried
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.6336,,
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,Light_PAR,9.575,,
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.77574,,
2/20/2018 4:30,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.5205,,
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,AirPres_kPa,96.2474,,
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,DO_mgL,0.04,Bad Data,sensor buried
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,DOsat_pct,0.344049,Bad Data,sensor buried
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,Discharge_m3s,56.9168,,
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,Light_PAR,4.965,,
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,Nitrate_mgL,2.80207,,
2/20/2018 4:45,KS,KANSASREASTLAWRENCE,WaterTemp_C,7.544,,
