DateTime_UTC,region,site,variable,value,flagtype,flagcomment
2/1/2018 7:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.653,,
2/1/2018 7:45,KS,KANSASRFALLLEAF,DO_mgL,13.161,,
2/1/2018 7:45,KS,KANSASRFALLLEAF,DOsat_pct,100.961,,
2/1/2018 7:45,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 7:45,KS,KANSASRFALLLEAF,Light_PAR,-0.035,,
2/1/2018 7:45,KS,KANSASRFALLLEAF,WaterTemp_C,3.083,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.6792,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,DO_mgL,13.147,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,DOsat_pct,100.867,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 8:00,KS,KANSASRFALLLEAF,WaterTemp_C,3.088,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.6988,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,DO_mgL,13.1045,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,DOsat_pct,100.444,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,Discharge_m3s,63.5712,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 8:15,KS,KANSASRFALLLEAF,WaterTemp_C,3.052,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.7086,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,DO_mgL,13.087,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,DOsat_pct,100.184,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,Light_PAR,-0.03,,
2/1/2018 8:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.005,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.7184,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,DO_mgL,13.046,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,DOsat_pct,99.87,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,Discharge_m3s,63.8544,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 8:45,KS,KANSASRFALLLEAF,WaterTemp_C,3.005,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.7282,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,DO_mgL,13.063,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,DOsat_pct,99.9733,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,Discharge_m3s,63.7128,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 9:00,KS,KANSASRFALLLEAF,WaterTemp_C,2.995,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.7364,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,DO_mgL,13.0475,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,DOsat_pct,99.8533,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,Discharge_m3s,63.7128,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,Light_PAR,-0.035,,
2/1/2018 9:15,KS,KANSASRFALLLEAF,WaterTemp_C,2.9945,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.7282,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,DO_mgL,13.043,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,DOsat_pct,99.847,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,Light_PAR,-0.03,,
2/1/2018 9:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.005,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.7356,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,DO_mgL,12.9925,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,DOsat_pct,99.4457,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,Discharge_m3s,63.8544,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,Light_PAR,-0.045,,
2/1/2018 9:45,KS,KANSASRFALLLEAF,WaterTemp_C,2.9995,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.7479,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,DO_mgL,12.982,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,DOsat_pct,99.492,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,Discharge_m3s,63.4296,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 10:00,KS,KANSASRFALLLEAF,WaterTemp_C,3.047,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.752,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,DO_mgL,12.9305,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,DOsat_pct,99.0548,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,Discharge_m3s,63.7128,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,Light_PAR,-0.065,,
2/1/2018 10:15,KS,KANSASRFALLLEAF,WaterTemp_C,3.031,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.7397,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,DO_mgL,12.886,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,DOsat_pct,98.7272,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,Light_PAR,-0.08,,
2/1/2018 10:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.036,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.743,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,DO_mgL,12.9005,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,DOsat_pct,98.8383,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,Discharge_m3s,63.8544,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,Light_PAR,-0.055,,
2/1/2018 10:45,KS,KANSASRFALLLEAF,WaterTemp_C,3.036,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.7282,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,DO_mgL,12.91,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,DOsat_pct,98.8554,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,Discharge_m3s,63.7128,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,Light_PAR,-0.05,,
2/1/2018 11:00,KS,KANSASRFALLLEAF,WaterTemp_C,3.015,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.7381,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,DO_mgL,12.8515,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,DOsat_pct,98.3942,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,Light_PAR,-0.015,,
2/1/2018 11:15,KS,KANSASRFALLLEAF,WaterTemp_C,3.01,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.7512,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,DO_mgL,12.843,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,DOsat_pct,98.3423,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,Discharge_m3s,64.5623,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 11:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.015,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.7454,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,DO_mgL,12.8395,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,DOsat_pct,98.1798,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,Discharge_m3s,64.2791,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,Light_PAR,-0.07,,
2/1/2018 11:45,KS,KANSASRFALLLEAF,WaterTemp_C,2.9635,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.7479,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,DO_mgL,12.742,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,DOsat_pct,97.6239,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,Light_PAR,-0.05,,
2/1/2018 12:00,KS,KANSASRFALLLEAF,WaterTemp_C,3.036,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.7479,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,DO_mgL,12.743,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,DOsat_pct,97.6185,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,Discharge_m3s,64.2791,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,Light_PAR,-0.025,,
2/1/2018 12:15,KS,KANSASRFALLLEAF,WaterTemp_C,3.031,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.7479,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,DO_mgL,12.746,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,DOsat_pct,97.5996,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,Discharge_m3s,63.996,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,Light_PAR,-0.03,,
2/1/2018 12:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.015,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.7724,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,DO_mgL,12.7245,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,DOsat_pct,97.4637,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,Discharge_m3s,64.2791,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,Light_PAR,-0.03,,
2/1/2018 12:45,KS,KANSASRFALLLEAF,WaterTemp_C,3.026,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.8002,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,DO_mgL,12.765,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,DOsat_pct,97.7189,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,Discharge_m3s,65.695,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 13:00,KS,KANSASRFALLLEAF,WaterTemp_C,3.005,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.8493,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,DO_mgL,12.8045,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,DOsat_pct,97.9936,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,Discharge_m3s,66.1197,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,Light_PAR,-0.05,,
2/1/2018 13:15,KS,KANSASRFALLLEAF,WaterTemp_C,2.9945,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.8673,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,DO_mgL,12.892,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,DOsat_pct,98.6355,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,Discharge_m3s,65.9781,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,Light_PAR,-0.06,,
2/1/2018 13:30,KS,KANSASRFALLLEAF,WaterTemp_C,2.984,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,AirPres_kPa,96.8697,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,DO_mgL,12.9475,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,DOsat_pct,99.0335,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,Discharge_m3s,66.2613,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 13:45,KS,KANSASRFALLLEAF,WaterTemp_C,2.974,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,AirPres_kPa,96.8787,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,DO_mgL,13.09,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,DOsat_pct,100.18,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,Discharge_m3s,66.8276,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 14:00,KS,KANSASRFALLLEAF,WaterTemp_C,2.995,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,AirPres_kPa,96.9123,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,DO_mgL,13.2095,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,DOsat_pct,101.051,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,Discharge_m3s,67.8187,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,Light_PAR,-0.04,,
2/1/2018 14:15,KS,KANSASRFALLLEAF,WaterTemp_C,2.979,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,AirPres_kPa,96.9605,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,DO_mgL,13.307,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,DOsat_pct,101.895,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,Discharge_m3s,67.6772,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,Light_PAR,-0.05,,
2/1/2018 14:30,KS,KANSASRFALLLEAF,WaterTemp_C,3.015,,
