"Date","Mean.Discharge_m3s.eric","Mean.Nitrate_mgL.eric","Mean.velocity_ms.eric","UaNO3_kgNm2day.eric","Mean.Discharge_m3s.steve","Mean.Nitrate_mgL.steve","Mean.velocity_ms.steve","UaNO3_kgNm2day.steve","Mean.Discharge_m3s.desoto","Mean.Nitrate_mgL.desoto","Mean.velocity_ms.desoto","UaNO3_kgNm2day.desoto","ReleaseStatus"
2018-02-19,56.6926,2.78571541666667,0.436096923076923,NA,56.0186020833333,0.661566729166667,0.430912323717949,48.212614997287,59.2057145833333,0.886875,0.455428573717949,59.6137785853847,"During"
2018-02-20,56.5937895833333,3.560765,0.435336842948718,1638.08318103429,56.5937895833333,0.668718302083333,0.435336842948718,91.7196650675404,60.7749364583333,0.833020833333333,0.467499511217949,51.6007260501923,"During"
2018-02-21,58.779484375,5.89935208333333,0.452149879807692,515.201840530165,58.779484375,0.785648895833333,0.452149879807692,29.9542104380908,61.3383364583333,0.947395833333333,0.471833357371795,38.0146699367307,"During"
2018-02-22,59.0995197916667,4.52619177083333,0.454611690705128,1665.1449833724,59.0995197916667,0.754233916666667,0.454611690705128,NA,60.0168739583333,0.9853125,0.461668261217949,45.173316023654,"During"
2018-02-23,61.7380260416667,3.90638791666667,0.474907892628205,1373.71727086835,61.736553125,0.579424861111111,0.4748965625,NA,62.0845989583333,0.873333333333333,0.477573838141026,83.9689425173077,"During"
2018-02-24,88.5607864583333,3.7185515625,0.681236818910256,1034.81956287155,88.5607864583333,0.39855621875,0.681236818910256,136.37208189391,87.6522885416667,0.8184375,0.674248373397436,88.6933280301922,"During"
2018-02-25,89.50764375,2.88858520833333,0.688520336538462,1380.85516387195,89.50764375,0.416925427083333,0.688520336538462,42.5063703169593,99.7921108695652,0.756770833333333,0.767631622073579,97.661165486689,"During"
2018-02-26,86.9217934782609,2.66062614583333,0.668629180602007,529.294396152672,86.9217934782609,0.370976229166667,0.668629180602007,42.4622450326636,94.9489261904762,0.6703125,0.730376355311355,100.809466065494,"During"
2018-02-27,83.0419729166667,2.50623572916667,0.638784407051282,408.255490287619,83.0419729166667,0.317338083333333,0.638784407051282,44.5081252935594,90.6946642857143,0.595,0.697651263736264,119.34859698989,"During"
2018-02-28,82.1570645833333,2.53567427083333,0.631977419871795,668.788663670809,82.1570645833333,0.267786354166667,0.631977419871795,69.2032960015733,90.83793125,0.547708333333333,0.698753317307692,83.011894096154,"During"
2018-03-01,79.11743125,2.273314375,0.608595625,1277.16003299313,79.098259375,0.2668160625,0.608448149038462,106.969523079643,85.0610140625,0.513229166666667,0.654315492788462,87.2019343549038,"During"
2018-03-02,77.9950854166667,1.75673166666667,0.59996219551282,1312.55845219026,77.9980375,0.199984708333333,0.599984903846154,58.2793425999028,86.4291680555556,0.4328125,0.664839754273504,90.0405776007692,"During"
2018-03-03,47.1356708333333,5.81104,0.362582083333333,1535.39701105014,47.1504177083333,0.36719396875,0.362695520833333,97.5266705603767,59.751403125,0.429583333333333,0.459626177884615,33.7549465038462,"During"
2018-03-04,45.2950770833333,7.129754375,0.348423669871795,1137.15392709285,45.293603125,0.450370625,0.348412331730769,29.5504386143192,47.0236114583333,0.502604166666667,0.361720088141026,62.7396258478846,"During"
2018-03-05,44.9071989583333,2.99137197916667,0.34543999198718,3253.70462088424,44.8452572916667,0.417237104166667,0.344963517628205,42.1141085422801,50.2947572916667,0.451666666666667,0.386882748397436,85.4051404742307,"During"
2018-03-06,45.961703125,0.34711134375,0.3535515625,1285.4554244065,45.8982854166667,0.384283135416667,0.353063733974359,64.5261254543939,47.162221875,0.358125,0.362786322115385,68.1748056519231,"During"
2018-03-07,59.8841291666667,0.297176072916667,0.460647147435897,44.2233853788884,59.8384072916667,0.35671515625,0.460295440705128,145.767999550742,60.2086,0.316458333333333,0.463143076923077,90.4351697723077,"During"
2018-03-08,43.6624510416667,0.306192708333333,0.335865008012821,19.8360911814989,43.640328125,0.450002489583333,0.335694831730769,74.244481348796,47.2684,0.413333333333333,0.363603076923077,74.7684279138461,"During"
2018-03-09,41.02543125,0.300413104166667,0.315580240384615,19.4746172013609,41.0092114583333,0.235552208333333,0.31545547275641,135.31510680246,44.329059375,0.405869565217391,0.340992764423077,NA,"During"
2018-03-10,30.5818447916667,0.306066854166667,0.235244959935897,24.459353818496,30.520196875,0,0.234770745192308,8.87153494972015,36.851659375,0.408007246376812,0.283474302884615,66.2564488132212,"During"
2018-03-11,32.6222511363636,0.322390977272727,0.250940393356643,17.0090869624654,32.6222522727273,0,0.250940402097902,0,36.2712556818182,0.498068181818182,0.279009659090909,32.8450170681818,"During"
2018-03-12,39.79394375,0.327066010416667,0.306107259615385,18.1303453327857,39.7836197916667,0.0881986041666667,0.306027844551282,225.71345879537,39.1774739583333,0.5025,0.301365184294872,NA,"During"
2018-03-13,38.7291052083333,0.33820709375,0.297916193910256,24.4667899892092,38.7291052083333,0.0885122083333333,0.297916193910256,30.4317295135828,41.9590125,0.368229166666667,0.322761634615385,74.3875194530769,"During"
2018-03-14,39.4532625,3.160866,0.303486634615385,NA,39.4532625,0.101318177083333,0.303486634615385,14.3088483033838,41.2865010416667,0.382916666666667,0.317588469551282,NA,"During"
2018-03-15,40.630190625,7.549514375,0.312539927884615,3539.10318072262,40.630190625,0.0878890104166667,0.312539927884615,13.254461045941,42.035696875,0.290833333333333,0.323351514423077,NA,"During"
2018-03-16,41.9619645833333,6.90368770833333,0.322784342948718,1892.87361206936,41.9619645833333,0.0266563333333333,0.322784342948718,19.3456925116473,43.0444927083333,0.304673913043478,0.331111482371795,NA,"During"
2018-03-17,39.283659375,6.70959166666667,0.302181995192308,594.576997282918,39.283659375,0.001643125,0.302181995192308,4.69713240498738,43.2244,0.330104166666667,0.332495384615385,79.6472744123077,"During"
2018-03-18,41.2215927083333,7.03486583333333,0.317089174679487,1931.91206131372,41.2215927083333,0.00604366666666667,0.317089174679487,3.27265631714579,43.4662916666667,0.309791666666667,0.33435608974359,62.9766382153846,"During"
2018-03-19,44.04885,10.1768073958333,0.338837307692308,4980.21396652736,44.04885,0.0060944375,0.338837307692308,6.86985756172062,51.7725489583333,0.403586956521739,0.398250376602564,NA,"During"
2018-03-20,48.3612510416667,5.63648802083333,0.372009623397436,3756.78869487184,48.3612510416667,0.0152623229166667,0.372009623397436,3.34203059151571,81.3724489583333,1.11052083333333,0.625941915064103,177.792541554808,"During"
2018-03-21,44.451484375,5.51024135416667,0.341934495192308,980.945484854754,44.451484375,0.0239396041666667,0.341934495192308,8.29024095324375,59.8162947916667,0.536041666666667,0.460125344551282,352.625340053077,"During"
2018-03-22,42.76575,5.83364197916667,0.328967307692308,690.285826246846,42.76575,0.0133284895833333,0.328967307692308,9.86191432644461,53.2060833333333,0.389166666666667,0.409277564102564,132.782738676923,"During"
2018-03-23,39.02999375,6.78994614583333,0.300230721153846,866.801387094733,39.02999375,0.000197239583333333,0.300230721153846,3.07713119223358,48.2889958333333,0.353020833333333,0.371453814102564,53.9974980484615,"During"
2018-03-24,37.565478125,7.287685625,0.288965216346154,681.775659059113,37.565478125,0.000667864583333333,0.288965216346154,2.79864291533158,44.4367072916667,0.4025,0.341820825320513,27.9089867457692,"During"
2018-03-25,40.223121875,6.92704020833333,0.309408629807692,821.537476996181,40.223121875,0.007453625,0.309408629807692,4.49529179343421,45.1977197916667,0.411666666666667,0.347674767628205,47.4617778784616,"During"
2018-03-26,44.224353125,9.93900010416667,0.340187331730769,2397.99135742832,44.2302552083333,0.0195009270833333,0.340232732371795,8.32667543262605,52.9170333333333,0.424166666666667,0.407054102564103,198.531683335385,"During"
2018-03-27,42.7214854166667,7.00180854166667,0.328626810897436,1895.89596219521,42.7185333333333,0.170084135416667,0.328604102564103,107.773101667473,65.0549041666667,1.07072916666667,0.50042233974359,90.6885380976924,"During"
