"Date","Mean.Discharge_m3s.eric","Mean.Nitrate_mgL.eric","UaNO3_gNm2day.eric","Mean.Discharge_m3s.steve","Mean.Nitrate_mgL.steve","UaNO3_gNm2day.steve","Mean.Discharge_m3s.desoto","Mean.Nitrate_mgL.desoto","UaNO3_gNm2day.desoto","ReleaseStatus"
2018-02-19,56.6926,2.78571541666667,NA,56.0186020833333,0.662300848958333,933.548563240411,59.2057145833333,0.886302083333333,710.880232029043,"During"
2018-02-20,56.5937895833333,3.560765,NA,56.5937895833333,0.668718302083333,750.85530055682,60.7749364583333,0.833020833333333,646.528765626132,"During"
2018-02-21,58.779484375,5.89935208333333,NA,58.779484375,0.785648895833333,102.904291627471,61.3383364583333,0.946458333333333,-20.1514227692479,"During"
2018-02-22,59.0995197916667,4.52619177083333,NA,59.0995197916667,0.718266939937943,1105.18727897287,60.0168739583333,0.9853125,400.918108128123,"During"
2018-02-23,61.7380260416667,3.90419052083333,NA,61.736553125,0.611332091312057,2152.17513408948,62.0845989583333,0.87265625,1055.76643431774,"During"
2018-02-24,88.5607864583333,3.7185515625,8093.91126494883,88.5607864583333,0.39855621875,3875.33246675348,87.6522885416667,0.8240625,1159.39466587872,"During"
2018-02-25,89.50764375,2.88858520833333,9825.80744849553,89.50764375,0.416925427083333,781.753537600125,99.74004375,0.757291666666667,1359.85114765517,"During"
2018-02-26,86.8617760416667,2.66070739583333,5343.04349539094,86.8617760416667,0.37100296875,831.726488700258,94.7447671875,0.6734375,1239.86843735107,"During"
2018-02-27,83.0419729166667,2.50623572916667,2524.62632634395,83.0419729166667,0.317338083333333,880.516499711901,90.8851260416667,0.595260416666667,1307.37138070453,"During"
2018-02-28,82.1570645833333,2.53567427083333,3444.29742767447,82.1570645833333,0.267786354166667,1005.34676641709,90.6845479166667,0.545416666666667,1065.79138049087,"During"
2018-03-01,79.11743125,2.27068296875,7438.37549829129,79.098259375,0.266515302083333,997.532933099396,84.2026572916667,0.511588541666667,796.299657267147,"During"
2018-03-02,77.9950854166667,1.75588295138889,9483.1332659823,77.9980375,0.200366251736111,1469.52837678752,86.7452723958333,0.431588541666667,1116.52417893482,"During"
2018-03-03,47.1356708333333,5.80647887152778,704.897503409767,47.1504177083333,0.367009565972222,54.4908171897464,59.751403125,0.428854166666667,268.744994137937,"During"
2018-03-04,45.2950770833333,7.13008765625,8437.04055683615,45.293603125,0.450316380208333,408.236464514175,47.0236114583333,0.503229166666667,252.327466192873,"During"
2018-03-05,44.9071989583333,6.232184898655,7139.89078129549,44.8452572916667,0.417363161458333,540.94587337096,50.2947572916667,0.451770833333333,992.577435059209,"During"
2018-03-06,45.961703125,5.98559527088036,NA,45.8982854166667,0.38889790625,780.223380142417,47.162221875,0.357083333333333,869.88629474723,"During"
2018-03-07,59.8841291666667,5.90986795711061,NA,59.8384072916667,0.357611119791667,1676.15816039386,60.2086,0.321510416666667,836.422912203954,"During"
2018-03-08,43.6624510416667,5.83414064334086,NA,43.640328125,0.452060119791667,751.092419711748,47.2684,0.4140625,429.636787600492,"During"
2018-03-09,41.02543125,5.75841332957111,NA,41.0092114583333,0.236927151041667,1976.70906024051,44.0591640625,0.405989583333333,896.742959961433,"During"
2018-03-10,30.5818447916667,5.68268601580135,NA,30.520196875,0,NA,36.9628532608696,0.408007246376812,644.755093745768,"During"
2018-03-11,32.6222511363636,5.61011400677201,NA,32.6222522727273,0,NA,36.2712556818182,0.498068181818182,251.090506125022,"During"
2018-03-12,39.79394375,5.53754199774266,NA,39.7836197916667,0,NA,39.1774739583333,0.494375,487.86978796987,"During"
2018-03-13,38.7291052083333,5.46181468397291,288.362259145726,38.7291052083333,0,NA,41.9590125,0.368229166666667,935.065725657275,"During"
2018-03-14,39.4532625,5.79392486338412,1379.29361252102,39.4532625,0,NA,41.2865010416667,0.380885416666667,367.837695816434,"During"
2018-03-15,40.630190625,7.549514375,12939.2794050364,40.630190625,0,NA,42.035696875,0.280989583333333,700.03272643315,"During"
2018-03-16,41.9619645833333,6.90368770833333,19608.1814949149,41.9619645833333,0,NA,43.0444927083333,0.306302083333333,641.243537858061,"During"
2018-03-17,39.283659375,6.70959166666667,4078.82925967766,39.283659375,0,NA,43.2244,0.330104166666667,819.062777721446,"During"
2018-03-18,41.2215927083333,7.03486583333333,8376.11376588235,41.2215927083333,0,NA,43.4662916666667,0.309791666666667,685.77700525096,"During"
2018-03-19,44.04885,10.1768073958333,20552.3682490961,44.04885,0,NA,51.7725489583333,0.410677083333333,1356.65301753639,"During"
2018-03-20,48.3612510416667,5.63648802083333,38474.6872682947,48.3612510416667,0,NA,81.3724489583333,1.11380208333333,-87.2011845286811,"During"
2018-03-21,44.451484375,5.50997953125,7056.63872150409,44.451484375,0,NA,59.8162947916667,0.53765625,5098.36544284194,"During"
2018-03-22,42.76575,5.83413984375,4002.45306382063,42.76575,0,NA,53.2060833333333,0.389166666666667,1832.25149869631,"During"
2018-03-23,39.02999375,6.78994614583333,3566.85956655689,39.02999375,0.000428641725352113,18.6888011718085,48.2889958333333,0.353020833333333,670.457050861882,"During"
2018-03-24,37.565478125,7.287685625,4447.92903415729,37.565478125,0.0437682169014085,-20.5571937783887,44.4367072916667,0.4025,167.885594203121,"During"
2018-03-25,40.223121875,6.92704020833333,5287.72137139704,40.223121875,0.115592983098592,-22.0115529477537,45.1977197916667,0.411666666666667,391.724483316433,"During"
2018-03-26,44.224353125,9.939935,6638.83488026507,44.2302552083333,0.187417749295775,-24.204401822326,52.9170333333333,0.420572916666667,1147.15897981355,"During"
2018-03-27,42.7214854166667,7.00170421875,19698.9186383243,42.7185333333333,0.275557908978873,26.8587198851655,65.0549041666667,1.07078125,-1035.61747968318,"During"
2018-03-28,45.133445,7.2680205625,2815.22223223685,45.15467875,0.32222653125,221.934135107804,55.40889875,0.6451875,2944.83829623687,"During"
2018-03-29,42.3985020833333,6.08348875,7950.90584032115,42.432428125,0.283444270833333,560.047473907372,51.05871875,0.515729166666667,1269.2531096002,"During"
2018-03-30,42.3365739583333,3.79933260416667,13153.4238158427,42.340996875,0.26535390625,458.756555539321,50.1413833333333,0.393854166666667,926.012244035634,"During"
2018-03-31,38.636196875,2.62141052083333,7781.27753177758,38.6553666666667,0.215985927083333,489.964908534317,45.4572989583333,0.231354166666667,958.267649367169,"During"
2018-04-01,37.7852177083333,2.46536427083333,NA,37.7793197916667,0.211207322916667,296.09937670069,45.0885739583333,0.213333333333333,391.483902811979,"After"
2018-04-02,36.5139260416667,2.69401489583333,NA,36.5080197916667,0.229306291666667,218.729212504734,42.690528125,0.223854166666667,280.835466686282,"After"
2018-04-03,37.233640625,2.8031103125,NA,37.2513395833333,0.21733284375,340.76720112349,43.578365625,0.235625,404.277952935105,"After"
2018-04-04,37.5802166666667,2.588091875,NA,37.6023416666667,0.210022947916667,323.040177352913,44.1918927083333,0.245416666666667,433.821187635801,"After"
2018-04-05,38.288140625,3.909174375,2470.82978889834,38.295515625,0.225761083333333,341.933948182411,44.056209375,0.212395833333333,466.950509157493,"After"
2018-04-06,36.8206864583333,5.49740364583333,2437.9503202246,36.86788125,0.299722739583333,153.312169859893,43.059234375,0.245729166666667,226.339320199899,"After"
2018-04-07,36.834835,3.331520375,6811.74787165684,36.82952125,0.256890775,412.681029086995,42.591995,0.299375,211.889545343666,"After"
2018-04-08,37.9940725,3.2208745625,3464.09051451019,38.00469,0.2477359375,336.323499515929,42.613235,0.2185,499.433163446078,"After"
2018-04-09,36.7248197916667,3.00046833333333,4644.56923618521,36.7602166666667,0.238038333333333,410.094806530063,42.3424614583333,0.231354166666667,276.227289670095,"After"
2018-04-10,37.3280177083333,2.41190541666667,4993.53306592532,37.3250666666667,0.211257854166667,404.999759397841,42.1566125,0.226041666666667,379.54691002028,"After"
2018-04-11,37.8855145833333,2.35241510416667,2903.64014726911,37.8855145833333,0.207133677083333,248.151599859974,42.65515,0.210677083333333,401.385363120156,"After"
2018-04-12,36.8015135416667,2.32543010416667,2487.596726902,36.8015135416667,0.204283395833333,341.255773546826,42.5990916666667,0.189479166666667,272.903227065981,"After"
2018-04-13,35.0671010416667,2.65113119791667,2100.3492245796,35.0671010416667,0.206024609375,386.396471232461,41.3956135416667,0.188541666666667,133.406186727747,"After"
2018-04-14,35.0641645833333,2.886125625,NA,35.0641645833333,0.2080715,565.513944750054,46.8318479166667,0.328958333333333,654.621519557109,"After"
2018-04-15,33.0628125,2.81770614583333,NA,33.0628125,0.234224427083333,538.771408440178,40.8410885416667,0.301354166666667,1301.49577964982,"After"
2018-04-16,36.1747208333333,3.02299298958333,NA,36.1835697916667,0.234129625,498.404723803061,42.8498,0.24484375,541.309633953791,"After"
2018-04-17,36.6481322916667,2.73441930208333,NA,36.6466572916667,0.225799083333333,389.23618813933,41.1006666666667,0.201354166666667,377.755819511842,"After"
2018-04-18,32.6985302083333,2.94381489583333,713.186870260727,32.6985302083333,0.225545364583333,225.506970654638,43.7052104166667,0.188020833333333,354.174591373941,"After"
2018-04-19,33.2486458333333,2.34811416666667,3251.58566516927,33.2486458333333,0.219896104166667,302.03899507877,38.779271875,0.185,303.032751585247,"After"
2018-04-20,34.2751166666667,2.42645182291667,2337.17691061579,34.285440625,0.230671042534722,326.926985080721,38.5668770833333,0.187916666666667,164.412717109075,"After"
2018-04-21,32.2693510416667,2.78770916666667,1897.04614732922,32.2723041666667,0.227056416666667,420.952681965444,37.4932197916667,0.184583333333333,171.273438016948,"After"
2018-04-22,34.9078333333333,2.71892875,3231.69093911522,34.8945635416667,0.2408144375,433.051004933616,38.466615625,0.179791666666667,168.79954425201,"After"
2018-04-23,35.5184010416667,2.07717604166667,4907.55536260661,35.5110291666667,0.208706036458333,591.618852740861,40.4458458333333,0.192135416666667,99.3408795466069,"After"
2018-04-24,34.87834375,2.84919166666667,1981.8483379643,34.9004666666667,0.230653791666667,379.11223562673,39.4164166666667,0.193125,150.768436083146,"After"
2018-04-25,34.0509520833333,3.34674786458333,NA,34.0598010416667,0.237650354166667,487.308008371186,38.965090625,0.181770833333333,189.274331718512,"After"
2018-04-26,40.1213645833333,3.38929677083333,NA,40.0741666666667,0.25949465625,665.636335574603,43.5689375,0.205875,188.065585364308,"After"
2018-04-27,38.43476,2.36520625,NA,38.418835,0.201747125,529.47164433475,44.5340604166667,0.1890625,459.474612477366,"After"
