"","date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
"1",2018-02-19,NA,NA,NA,NA,NA,NA,"w     E","",""
"2",2018-02-20,NA,NA,NA,NA,NA,NA,"w     E","",""
"3",2018-02-21,NA,NA,NA,NA,NA,NA,"w     E","",""
"4",2018-02-22,NA,NA,NA,NA,NA,NA,"w     E","",""
"5",2018-02-23,NA,NA,NA,NA,NA,NA,"w     E","",""
"6",2018-02-24,NA,NA,NA,NA,NA,NA,"w     E","",""
"7",2018-02-25,5.34493895579319,3.5849266283542,7.13967629352286,-14.4238043474644,-19.3524997204621,-9.32043386421687,"w      ","",""
"8",2018-02-26,5.90761065326317,3.99509678009487,7.68118272080868,-11.0066820941283,-14.9044634859555,-6.93751180004403,"w      ","",""
"9",2018-02-27,6.81141062500358,4.59338805100591,8.93348398220774,-13.43297539336,-17.6091109927877,-9.2045461658938,"w      ","",""
"10",2018-02-28,5.88275245272776,4.05633007131659,7.77555221971739,-5.69158506974884,-8.71589983831289,-2.64583188949727,"w      ","",""
"11",2018-03-01,7.27313240933904,5.10677764063357,9.56435796653106,-3.06610171575539,-5.87570717996931,-0.318349650780822,"w      ","",""
"12",2018-03-02,5.54094742994555,3.50190687231293,7.53334908564291,-2.3517726888493,-5.28959834711668,0.51175231236563,"w      ","",""
"13",2018-03-03,14.2612222922246,11.6328806734131,16.8593573165341,0.0155676530995744,-2.7687562931901,2.93235216315932,"w      ","",""
"14",2018-03-04,23.9694421814979,19.9386825515074,27.9630462829703,-0.276170273698942,-3.20499400765175,2.55792614245415,"w      ","",""
"15",2018-03-05,NA,NA,NA,NA,NA,NA,"w     E","",""
"16",2018-03-06,NA,NA,NA,NA,NA,NA,"w     E","",""
"17",2018-03-07,NA,NA,NA,NA,NA,NA,"w     E","",""
"18",2018-03-08,NA,NA,NA,NA,NA,NA,"w     E","",""
"19",2018-03-09,NA,NA,NA,NA,NA,NA,"w     E","",""
"20",2018-03-10,NA,NA,NA,NA,NA,NA,"w     E","",""
"21",2018-03-11,NA,NA,NA,NA,NA,NA,"w     E","",""
"22",2018-03-12,NA,NA,NA,NA,NA,NA,"w     E","",""
"23",2018-03-13,13.1789357184017,10.7789817533686,15.4693057898958,-2.05565282186936,-4.96218087965898,0.749115990235048,"w      ","",""
"24",2018-03-14,14.8439174281,12.5407978952387,17.1872332234969,-0.440986269565341,-3.68673502000977,2.70803596979683,"w      ","",""
"25",2018-03-15,17.4921478395972,15.1236148875884,19.9795960137077,-2.64969071281692,-5.80297897011147,0.406581210736438,"w      ","",""
"26",2018-03-16,9.1606232252886,6.8799975361466,11.5498499156285,-11.9781509672925,-15.2723127087739,-8.77885957857997,"w      ","",""
