"Date","calcdepth_m.eric","Max.PreDawnN_mgL.eric","Min.Nitrate_mgL.eric","NitrateChange_Perc.eric","Mean.Nitrate_mgL.eric","Mean.Discharge_m3s.eric","SumDiff_mgNL.eric","A_m2.eric","UaNO3_mgNm2day.eric","UaNO3_gNm2day.eric","calcdepth_m.steve","Max.PreDawnN_mgL.steve","Min.Nitrate_mgL.steve","NitrateChange_Perc.steve","Mean.Nitrate_mgL.steve","Mean.Discharge_m3s.steve","SumDiff_mgNL.steve","A_m2.steve","UaNO3_mgNm2day.steve","UaNO3_gNm2day.steve","calcdepth_m.desoto","Max.PreDawnN_mgL.desoto","Min.Nitrate_mgL.desoto","NitrateChange_Perc.desoto","Mean.Nitrate_mgL.desoto","Mean.Discharge_m3s.desoto","SumDiff_mgNL.desoto","A_m2.desoto","UaNO3_mgNm2day.desoto","UaNO3_gNm2day.desoto","ReleaseStatus","UaNO3_gNm2day.eric_scaled","Supply_gNm2day.eric","Supply_gNm2day.steve","Supply_gNm2day.desoto","Month"
2018-02-19,1.34116901806388,NA,NA,NA,NA,NA,NA,282.852545909671,NA,NA,1.33492021568322,0.708612916666667,0.594067166666667,-16.1647843704044,0.660498947916667,56.0200791666667,0.38491175,151.379952458477,12306945.148575,12306.945148575,1.35947578981005,0.895833333333333,0.805833333333333,-10.046511627907,0.878645833333333,59.4741270833333,0.1375,187.702822299073,3764208.87600841,3764.20887600841,"During",NA,NA,22656.7785914262,24524.391161873,"Feb"
2018-02-20,1.34293514876852,2.72584166666667,2.13478083333333,NA,3.75051302083333,56.7442208333333,-8.19737083333333,283.225022875281,NA,NA,1.34293514876852,0.678077,0.552588833333333,-18.5064773862949,0.675810614583333,56.7442208333333,0.0181310833333335,152.28884587035,583701.807439972,583.701807439972,1.36842392639461,0.839166666666667,0.786666666666667,-6.25620655412115,0.831458333333333,60.8191864583333,0.0616666666666668,188.938291517304,1715081.80182905,1715.08180182905,"During",NA,NA,21829.6261291688,23339.0185735385,"Feb"
2018-02-21,1.35289759244315,5.79840083333333,5.21759916666667,NA,5.92495458333333,58.676246875,-1.01243,285.32610224626,NA,NA,1.35289759244315,0.806009916666667,0.757822916666667,-5.97846242379772,0.78798246875,58.676246875,0.144219583333333,153.418586983053,4765652.01944192,4765.65201944192,1.37094511705566,0.9425,0.9425,NA,0.981770833333333,61.2026510416667,-0.314166666666667,189.286392311875,NA,NA,"During",NA,NA,26634.1276147961,NA,"Feb"
2018-02-22,1.36018518854515,5.96384333333333,3.59149833333333,NA,4.44406520833333,59.2647010416667,12.158225,286.863056264172,217022816.543225,NA,1.36018509817001,0.799820916666667,0.647021042553191,-19.1042608325729,0.707287526595745,59.2647010416667,0.740267120567376,154.244990132479,24574643.9183627,24574.6439183626,1.36622135231577,1.0075,0.913333333333333,-9.34656741108355,0.980119047619048,60.2844535714286,0.191666666666667,188.634182114239,5292309.90880683,5292.30990880683,"During",NA,NA,26551.6509911679,27819.1420858585,"Feb"
2018-02-23,1.40097054537295,4.16793416666667,3.47641583333333,NA,3.78601305555556,65.7146638888889,3.43729,295.464688019154,66052099.0815432,NA,1.40095955536611,0.639487085106383,0.149443833333333,NA,0.535590170803782,65.7133546296296,0.935072228723404,158.868813578517,33417494.6552387,NA,1.38580053577052,0.8675,0.8325,-4.03458213256484,0.865,63.361475,0.0225000000000003,191.337479973836,643756.29603173,643.75629603173,"During",NA,NA,NA,24820.3816358897,"Feb"
2018-02-24,1.53248929408803,3.73515166666667,3.33953083333333,NA,3.75873988095238,89.3850083333333,-0.165117499999998,323.201992123166,NA,NA,1.53248929408803,0.41337525,0.41337525,NA,0.450261047619048,89.3850083333333,-0.258200583333334,173.784285949583,NA,NA,1.55229821251808,0.8475,0.745,-12.094395280236,0.802916666666667,93.548665625,0.356666666666667,214.325814202372,13450529.4690167,13450.5294690167,"During",NA,NA,NA,31960.7207242757,"Feb"
2018-02-25,1.53176828674189,3.61978333333333,2.47475333333333,-31.6325562763885,2.82361055555556,89.2818277777778,7.165555,323.049931673864,171102752.235863,171102.752235863,1.53176828674189,0.437541083333333,0.398200833333333,-8.99121282515757,0.41406,89.38523125,0.187848666666667,173.70252371653,8351827.17800838,8351.82717800838,1.57752490339658,0.7925,0.695,-12.3028391167192,0.75297619047619,99.1593892857143,0.276666666666666,217.808863411966,10882504.9832912,10882.5049832912,"During",42775.6880589657,86435.020152778,19453.2523233874,31172.4766238251,"Feb"
2018-02-26,1.51464470353929,2.7654,2.30714833333333,-16.5708999300885,2.64843178571429,86.280269047619,0.818777499999999,319.438567976436,19107496.2331977,19107.4962331977,1.51464470353929,0.39873975,0.34315325,-13.940546434109,0.3676626875,86.5520604166667,0.2486165,171.760709381355,10824236.596866,10824.236596866,1.55521996573726,0.696666666666667,0.619166666666667,-11.1244019138756,0.6659375,94.4527505208333,0.245833333333333,214.729220669344,9342819.83052395,9342.81983052395,"During",4776.87405829943,64535.0783128323,17360.2853976916,26476.601282434,"Feb"
2018-02-27,1.5004056202568,2.59860916666667,2.35449,-9.39422402560857,2.50560322916667,83.1068666666667,0.744047500000001,316.435545312159,16883638.737963,16883.638737963,1.5004056202568,0.345825333333333,0.28548825,-17.447271069403,0.312420648148148,83.2081388888889,0.300642166666667,170.145997337121,12703041.1977846,12703.0411977846,1.53909763539468,0.6225,0.556666666666667,-10.5756358768407,0.59125,90.7641895833333,0.25,212.503210518943,9225773.53166737,9225.77353166737,"During",4220.90968449075,58966.6363923795,14612.1667006267,22972.1760938517,"Feb"
2018-02-28,1.48802510366602,2.77240416666667,2.03108916666667,-26.7390667245787,2.564785625,81.89896875,1.66094833333333,313.824494363164,37450831.2098249,37450.8312098249,1.48802510366602,0.297044166666667,0.196272666666667,-33.9247530529972,0.273377489583333,80.8946052083333,0.189333416666667,168.742046755727,7842188.22589485,7842.18822589485,1.53483374092427,0.5775,0.4875,-15.5844155844156,0.5446875,90.5429625,0.2625,211.914494609414,9690296.99117512,9690.29699117512,"During",9362.70780245623,62511.7822195445,12303.5664142969,21318.6533805853,"Feb"
