"","date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","valid_day","warnings","errors"
"1",2018-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","data don't start when expected"
"2",2018-02-01,6.73436874549604,0.0526403119837074,2.05992653646854,2.41013245204199,5.42198288391482,6.74375316629072,8.1329441274982,10.5946509452745,1531.32211852342,1.00224729022961,-1.75961360268674,0.081268437683195,3.30239794621791,-8.38747042258111,-3.96233168599368,-1.71895148193632,0.406322556750117,4.86257707594208,1651.25820747594,1.00116013092551,6.73436874549255,0.0526403119836801,2.05992653646748,2.41013245204074,5.421982883912,6.74375316628723,8.13294412749398,10.594650945269,1531.32211852342,1.00224729022961,-1.75961360268674,0.081268437683195,3.30239794621791,-8.38747042258112,-3.96233168599369,-1.71895148193633,0.406322556750118,4.86257707594209,1651.25820747594,1.00116013092551,6.71895517434217,0.0462780256515972,1.46273425949694,3.91785093422588,5.73690538883122,6.73602723813439,7.69363385761706,9.54247553213383,999.03619225812,1.00687211575894,1.78227601763013,0.0048334950934369,0.0820195861735235,1.61334133920994,1.72856540399138,1.78651626850183,1.83712518831043,1.93667571759582,287.947016700877,1.03111585671068,TRUE,"",""
"3",2018-02-02,8.06818068088032,0.0734243638292813,2.26336808713194,3.82204427626236,6.51725090879838,8.09079258211414,9.51826029757971,12.5917646169093,950.232743900206,0.999822378731897,-2.44083853634799,0.0893708613042119,3.2960090529039,-8.98941512458395,-4.69036326921191,-2.36614204013818,-0.243707241574219,3.96712182836867,1360.14404641867,1.00026919433071,8.06818068087614,0.0734243638292432,2.26336808713076,3.82204427626038,6.51725090879501,8.09079258210994,9.51826029757478,12.5917646169028,950.232743900207,0.999822378731897,-2.44083853634799,0.0893708613042119,3.2960090529039,-8.98941512458397,-4.69036326921192,-2.36614204013818,-0.243707241574219,3.96712182836867,1360.14404641867,1.00026919433071,6.7150728597022,0.053527942182556,1.43855132669995,4.00021597030024,5.71865234349955,6.70769406394404,7.71642433420468,9.54499072940244,722.253455318103,1.00471408874939,1.78119689903356,0.00487878329376211,0.0817772568026197,1.61470215645829,1.72754218484751,1.78508519052389,1.83545441290239,1.93367080256616,280.958399543563,1.03173759636122,TRUE,"",""
"4",2018-02-03,10.2548032230266,0.067028438420826,2.26986721782974,5.67482489515245,8.79773937944518,10.242692762016,11.786204545158,14.5436784118562,1146.78684406347,1.0004513489654,-4.37673644898991,0.085991805957251,3.37309389421941,-10.8631041334649,-6.73682252096136,-4.35680006603337,-2.0508865866151,2.30918650080844,1538.66020358009,0.999656326703033,10.2548032230213,0.0670284384207913,2.26986721782856,5.67482489514952,8.79773937944061,10.2426927620107,11.7862045451519,14.5436784118487,1146.78684406347,1.0004513489654,-4.37673644898991,0.085991805957251,3.37309389421941,-10.8631041334649,-6.73682252096136,-4.35680006603337,-2.0508865866151,2.30918650080845,1538.66020358009,0.999656326703033,6.54988725578205,0.0412305254503302,1.40644123987328,3.81670495069764,5.56578800349392,6.56011470127853,7.48984199861062,9.26882303305344,1163.60464321145,1.00084168537508,1.79651275957525,0.00476159169176274,0.096972641606801,1.60243006841159,1.73377982101223,1.79972104773416,1.85975466679342,1.98243623084502,414.757405445259,1.01950853885625,TRUE,"",""
"5",2018-02-04,6.1623068114005,0.0637291912596836,1.99542808251858,2.2974831186709,4.75619220725008,6.1559320003366,7.46853444197698,10.0863011621253,980.382037354516,0.999661859195281,-5.30673465099218,0.0898975697838453,3.30532430116181,-11.8981793707141,-7.63582319677153,-5.23200805760391,-3.01916070062897,1.30010993597525,1351.8616566535,0.9991817529701,6.1623068113973,0.0637291912596506,1.99542808251755,2.29748311866971,4.75619220724762,6.15593200033342,7.46853444197311,10.0863011621201,980.382037354517,0.999661859195281,-5.30673465099218,0.0898975697838453,3.30532430116181,-11.8981793707141,-7.63582319677153,-5.23200805760392,-3.01916070062897,1.30010993597526,1351.8616566535,0.9991817529701,6.13173331337199,0.063593878578708,1.579007221593,3.09339128535235,5.01338685466858,6.15382571473238,7.1959019846293,9.16085098167913,616.50642336507,1.00181201886405,1.58528369517039,0.00472867089034667,0.0987629320269611,1.38897171843999,1.52056855054071,1.58737934460766,1.6547546947865,1.76175948224311,436.224216960434,1.00766568595212,TRUE,"",""
"6",2018-02-05,6.94393970332843,0.0645749956228988,2.15062759381696,2.6278670626113,5.50526095004173,7.02883793629527,8.44165834483558,11.0108769799866,1109.17904642808,1.00106889085711,-6.53056303190249,0.0903396686136104,3.42748359149368,-13.2819557598487,-8.88338540086423,-6.53326960381444,-4.25888753731141,0.317607719309178,1439.4407142102,1.00229821342558,6.94393970332483,0.0645749956228653,2.15062759381585,2.62786706260994,5.50526095003888,7.02883793629162,8.44165834483121,11.0108769799808,1109.17904642808,1.00106889085711,-6.53056303190249,0.0903396686136104,3.42748359149368,-13.2819557598487,-8.88338540086424,-6.53326960381444,-4.2588875373114,0.317607719309177,1439.4407142102,1.00229821342558,6.15818746182694,0.0541837295216658,1.57599866770774,3.19365250092977,5.05507732771659,6.08511684691204,7.1939525458938,9.3647793002928,846.006895266295,1.00507813922309,1.64710055366162,0.00462862241250266,0.0955300207963553,1.45835877916207,1.58476577487479,1.64795478591889,1.71622951593683,1.81941843495917,425.967276032815,1.01010438464746,TRUE,"",""
"7",2018-02-06,7.20044083544004,0.0630146774110276,2.1340288368782,3.07186881332438,5.75478956622336,7.12072673710629,8.65052253456032,11.4060213800368,1146.87776437903,1.0047836093453,-4.21435514172303,0.0877428788916606,3.2539213298566,-10.4457477311709,-6.4022003203097,-4.28726932190021,-1.94308109000779,2.36977590387124,1375.27750072406,1.00251594349028,7.20044083543631,0.0630146774109949,2.1340288368771,3.07186881332279,5.75478956622038,7.1207267371026,8.65052253455584,11.4060213800309,1146.87776437903,1.0047836093453,-4.21435514172303,0.0877428788916607,3.2539213298566,-10.4457477311709,-6.4022003203097,-4.2872693219002,-1.94308109000779,2.36977590387123,1375.27750072406,1.00251594349028,7.26924160340003,0.051901407991306,1.5682939417696,4.28020213155241,6.23462961769003,7.24350852580189,8.35427930031841,10.3449505286313,913.054393004324,1.00435720268063,1.78422389284612,0.00452736009078592,0.0828074540914902,1.61316580855608,1.72901151377148,1.78802972648052,1.8393851523608,1.94273036537364,334.540567011791,1.0298037929747,TRUE,"",""
"8",2018-02-07,3.25820539118078,0.0685408432960324,2.27751088943205,-1.20747431259053,1.68029112331256,3.22521321583232,4.78600509924664,7.90680086035599,1104.13464528567,1.00336467525238,3.91643528906992,0.083146174696777,3.32372885454069,-2.47097823734134,1.68523298181258,3.97594807222734,6.18828001985728,10.1579086648916,1597.96266385079,0.999217300354274,3.25820539117909,0.0685408432959969,2.27751088943087,-1.2074743125899,1.68029112331169,3.22521321583065,4.78600509924416,7.90680086035189,1104.13464528567,1.00336467525238,3.91643528906992,0.0831461746967769,3.32372885454069,-2.47097823734133,1.68523298181258,3.97594807222734,6.18828001985729,10.1579086648916,1597.96266385079,0.999217300354274,6.22902783504489,0.0571335124500472,1.61706724542931,3.12397460080234,5.1457645462629,6.22337783389927,7.25869550494734,9.6547906209556,801.077090602101,1.00529367211581,1.76528474503604,0.00571605555106061,0.0936568520832365,1.57910925560188,1.70311376333287,1.76827627975189,1.8293493690519,1.94378237059074,268.464108047114,1.03067061497552,TRUE,"",""
"9",2018-02-08,13.4190930617866,0.0714186837513746,2.35856012855066,8.94875239724386,11.8343011795263,13.3700747313651,15.1110485723788,17.980320714369,1090.61187288743,1.0027908541646,-7.33642915022182,0.0912682556458622,3.33596515185595,-13.8264480035469,-9.67237303585071,-7.22133480590998,-5.14331153077998,-0.76444679024386,1335.9909311668,0.99919801906605,13.4190930617797,0.0714186837513377,2.35856012854944,8.94875239723922,11.8343011795202,13.3700747313581,15.111048572371,17.9803207143597,1090.61187288743,1.0027908541646,-7.33642915022182,0.0912682556458622,3.33596515185595,-13.8264480035469,-9.67237303585069,-7.22133480590997,-5.14331153077999,-0.764446790243859,1335.9909311668,0.99919801906605,6.17641917034345,0.0426445073083163,1.33038967131364,3.62521672126356,5.22669314991609,6.23851297536375,7.10420504676505,8.7964027204453,973.265943196833,1.00642974308621,1.54138681087783,0.00491120623243641,0.104232213535864,1.32994371612496,1.4725233600854,1.54564769768574,1.61562884792508,1.7248155244293,450.430280499716,1.00628429733076,TRUE,"",""
"10",2018-02-09,4.4497291495377,0.075965927534205,2.15255847632941,0.059368176210062,3.06743835812875,4.49915787836059,5.92151343924887,8.45056408847464,802.919909275531,1.0020043157933,-5.55664531680191,0.112152985209096,3.49702235472374,-12.2044596727166,-7.83440024864718,-5.64622919841122,-3.28536066525558,1.31291595920807,972.243708498767,1.00115844046061,4.4497291495354,0.0759659275341658,2.1525584763283,0.0593681762100312,3.06743835812716,4.49915787835825,5.9215134392458,8.45056408847026,802.919909275529,1.0020043157933,-5.55664531680191,0.112152985209096,3.49702235472374,-12.2044596727166,-7.83440024864717,-5.64622919841122,-3.28536066525558,1.31291595920807,972.243708498766,1.00115844046061,4.96813040406133,0.0611921634020618,1.61245952105642,1.99412034197766,3.81006105678969,4.96089642065115,6.02930663475427,8.05721065998978,694.362130022618,1.00178140884296,1.31867618122431,0.00684242555405096,0.158100134026962,1.00566487726178,1.2067176789505,1.32530104191731,1.43182704214695,1.60360645203928,533.880814389765,1.00439587010757,TRUE,"",""
