"date","depth_m","Q_m3s","A_m2","v_ms","v_mday"
2018-02-25,1.53278443571346,89.4477823529412,323.264237491969,0.276701756578203,23907.0317683567
2018-02-26,1.51907540486871,86.7747609375,320.373002886812,0.270855409649351,23401.9073937039
2018-02-27,1.49980569046214,83.0699947916667,316.309020118465,0.262622908320967,22690.6192789316
2018-02-28,1.49449766459463,82.0833229166667,315.189557463008,0.260425261475549,22500.7425914875
2018-03-01,1.47831069539805,79.1793739583333,311.775725659448,0.253962600169908,21942.3686546801
2018-03-02,1.46960794505006,77.5747583333333,309.940315611058,0.250289344193226,21624.9993382948
2018-03-03,1.26460893652335,46.682896875,266.706024712775,0.17503502939341,15123.0265395906
2018-03-04,1.25580375163412,45.5133520833333,264.849011219635,0.17184641118252,14847.5299261697
2018-03-05,1.24882149307308,44.761190625,263.376452889113,0.169951376191726,14683.7989029651
2018-03-06,1.26146638916863,46.2669927083333,266.043261475664,0.173907778951828,15025.632101438
2018-03-07,1.35426446011471,59.5213208333333,285.614374638193,0.208397497180361,18005.5437563832
2018-03-08,1.24091609488936,43.643278125,261.709204412165,0.166762488247323,14408.2789845687
2018-03-09,1.2156749420375,40.8425520833333,256.38584527571,0.159301119137105,13763.6166934459
2018-03-10,1.11812618647838,30.6098666666667,235.81281272829,0.129805782444638,11215.2196032167
2018-03-11,1.13996534851798,32.6742078125,240.418692002442,0.135905438717586,11742.2299051994
2018-03-12,1.20840945092019,40.1316770833333,254.853553199069,0.157469560771578,13605.3700506643
2018-03-13,1.19857114566057,38.746803125,252.778654619813,0.153283524604862,13243.6965258601
2018-03-14,1.20530451581541,39.496034375,254.198722385469,0.155374637623504,13424.3686906707
2018-03-15,1.21596729676917,40.693609375,256.447502888619,0.158682026210543,13710.1270645909
2018-03-16,1.22678157518863,41.9575395833333,258.728234207282,0.162168383794243,14011.3483598226
2018-03-17,1.20337997290589,39.2821833333333,253.792836285852,0.154780504872442,13373.035620979
2018-03-18,1.22127570173216,41.301234375,257.567045495312,0.160351392374657,13854.3603011704
2018-03-19,1.24733148169805,44.5178458333333,263.062209490118,0.169229346623448,14621.4155482659
2018-03-20,1.2788931287885,48.3170072916667,269.718560861495,0.179138607062635,15477.5756502117
2018-03-21,1.24713826630543,44.5635708333333,263.021460363815,0.169429409948878,14638.7010195831
2018-03-22,1.22800226245257,42.1123989583333,258.985677151248,0.16260512713118,14049.0829841339
2018-03-23,1.19844098131369,38.764525,252.751202959057,0.153370288830156,13251.1929549255
2018-03-24,1.18937183042326,37.7498291666667,250.838519036266,0.150494546498295,13002.7288174526
2018-03-25,1.21393440892137,40.4885947916667,256.018766841517,0.158146979970145,13663.8990694205
2018-03-26,1.24522000767791,44.1948541666667,262.616899619271,0.168286405904335,14539.9454701345
2018-03-27,1.2366707316784,43.116740625,260.813857310975,0.165316141824439,14283.3146536315
2018-03-28,NA,NA,NA,NA,NA
2018-03-29,1.23049682630038,42.3822802083333,259.511780666751,0.163315438318225,14110.4538706946
2018-03-30,1.22714192988501,42.0755270833333,258.804233012748,0.162576657242159,14046.6231857225
2018-03-31,1.19758205862714,38.639146875,252.570056164463,0.152983878856327,13217.8071331867
2018-04-01,1.18811336714884,37.6229864583333,250.57310913169,0.150147741665928,12972.7648799362
2018-04-02,1.17821087131344,36.5537447916667,248.484672760005,0.147106637949341,12710.0135188231
2018-04-03,1.18576614216936,37.3737510416667,250.078079383518,0.149448328833134,12912.3356111828
2018-04-04,1.18751353311141,37.55071875,250.446604133197,0.14993502858609,12954.3864698382
2018-04-05,1.19345112511817,38.1937520833333,251.698842287421,0.15174385283711,13110.6688851263
2018-04-06,1.18040828456845,36.789715625,248.948107215487,0.147780660140369,12768.2490361279
2018-04-07,NA,NA,NA,NA,NA
2018-04-08,NA,NA,NA,NA,NA
2018-04-09,1.1795451935499,36.6953208333333,248.766081319674,0.147509341461139,12744.8071022424
2018-04-10,1.18617574148544,37.4032364583333,250.16446387928,0.149514586837492,12918.0603027593
2018-04-11,1.19022978956436,37.8383208333333,251.019462619124,0.150738593886427,13023.8145117873
2018-04-12,1.17939519523263,36.686475,248.734446674561,0.147492538691272,12743.3553429259
2018-04-13,1.16432126307515,35.111346875,245.555354382548,0.142987502607255,12354.1202252668
2018-04-14,1.15991847751263,34.7013552083333,244.626806907414,0.141854262200573,12256.2082541295
2018-04-15,1.14866895098661,33.643896875,242.254281763076,0.138878440579653,11999.097266082
2018-04-16,1.17332366671222,36.07590625,247.453961309606,0.145788356181791,12596.1139741067
2018-04-17,1.1769601130324,36.4298572916667,248.220887838532,0.146763866687014,12680.398081758
2018-04-18,1.13869551417512,32.5657947916667,240.150883939532,0.135605558711441,11716.3202726685
2018-04-19,1.147295533131,33.396128125,241.964627937328,0.138020703313916,11924.9887663223
2018-04-20,1.15504466613217,34.1681120689655,243.598920087275,0.140263807642185,12118.7929802848
