"date","GPP","ER","Uaut_gNm2day","HR","Uhet_gNm2day","U_gNm2day"
2018-02-19,NA,NA,NA,NA,NA,NA
2018-02-20,NA,NA,NA,NA,NA,NA
2018-02-21,NA,NA,NA,NA,NA,NA
2018-02-22,NA,NA,NA,NA,NA,NA
2018-02-23,NA,NA,NA,NA,NA,NA
2018-02-24,NA,NA,NA,NA,NA,NA
2018-02-25,4.39470357793501,9.09859890776125,0.109867589448375,8.21965819217425,0.410982909608713,0.520850499057088
2018-02-26,4.79138561261074,7.6178179006184,0.119784640315268,6.65954077809625,0.332977038904813,0.452761679220081
2018-02-27,4.81536053154598,8.79806267409015,0.12038401328865,7.83499056778095,0.391749528389048,0.512133541677697
2018-02-28,4.31927872523104,4.31981222712074,0.107981968130776,3.45595648207453,0.172797824103727,0.280779792234503
2018-03-01,5.51512459774578,3.74597723643364,0.137878114943644,2.64295231688449,0.132147615844224,0.270025730787869
2018-03-02,4.76580357879469,3.36399340049775,0.119145089469867,2.41083268473881,0.12054163423694,0.239686723706808
2018-03-03,7.23195115377125,3.31996506319407,0.180798778844281,1.87357483243982,0.0936787416219909,0.274477520466272
2018-03-04,8.05779135708616,3.54206513631276,0.201444783927154,1.93050686489553,0.0965253432447764,0.29797012717193
2018-03-05,NA,NA,NA,NA,NA,NA
2018-03-06,NA,NA,NA,NA,NA,NA
2018-03-07,NA,NA,NA,NA,NA,NA
2018-03-08,NA,NA,NA,NA,NA,NA
2018-03-09,NA,NA,NA,NA,NA,NA
2018-03-10,NA,NA,NA,NA,NA,NA
2018-03-11,NA,NA,NA,NA,NA,NA
2018-03-12,NA,NA,NA,NA,NA,NA
2018-03-13,8.16955712839132,4.18466093268731,0.204238928209783,2.55074950700904,0.127537475350452,0.331776403560235
2018-03-14,9.64460996015224,3.9144735695707,0.241115249003806,1.98555157754025,0.0992775788770126,0.340392827880819
2018-03-15,10.9985676712942,5.08334273115459,0.274964191782354,2.88362919689576,0.144181459844788,0.419145651627142
2018-03-16,3.18650560172519,5.71365170895257,0.0796626400431299,5.07635058860753,0.253817529430376,0.333480169473506
2018-03-17,7.69105907548522,7.90489195519863,0.19227647688713,6.36668014010158,0.318334007005079,0.51061048389221
2018-03-18,7.28214847572453,5.2120002116901,0.182053711893113,3.75557051654519,0.18777852582726,0.369832237720373
2018-03-19,2.68412879101042,7.23038127615363,0.0671032197752604,6.69355551795155,0.334677775897578,0.401780995672838
2018-03-20,5.77668256018308,6.00352199057671,0.144417064004577,4.8481854785401,0.242409273927005,0.386826337931582
2018-03-21,10.4159005176056,3.95218967961492,0.260397512940141,1.86900957609379,0.0934504788046896,0.35384799174483
2018-03-22,8.5400809571331,4.64588071662604,0.213502023928327,2.93786452519942,0.146893226259971,0.360395250188299
2018-03-23,4.51388131142133,6.61424929919141,0.112847032785533,5.71147303690714,0.285573651845357,0.39842068463089
2018-03-24,7.23292581732801,8.77063578636309,0.1808231454332,7.32405062289749,0.366202531144874,0.547025676578075
2018-03-25,6.84244450823767,6.55946423669081,0.171061112705942,5.19097533504327,0.259548766752164,0.430609879458105
2018-03-26,4.79899444433134,7.63818823135885,0.119974861108284,6.67838934249258,0.333919467124629,0.453894328232913
2018-03-27,11.1628334066427,19.9873753910116,0.279070835166068,17.754808709683,0.887740435484151,1.16681127065022
2018-03-28,NA,NA,NA,NA,NA,NA
2018-03-29,8.24743404054008,7.44748063980342,0.206185851013502,5.7979938316954,0.28989969158477,0.496085542598272
2018-03-30,12.9269071259645,19.0638097894378,0.323172678149112,16.4784283642449,0.823921418212243,1.14709409636136
2018-03-31,2.04181449433893,10.8682740983283,0.0510453623584732,10.4599111994605,0.522995559973024,0.574040922331497
2018-04-01,NA,NA,NA,NA,NA,NA
2018-04-02,NA,NA,NA,NA,NA,NA
2018-04-03,NA,NA,NA,NA,NA,NA
2018-04-04,NA,NA,NA,NA,NA,NA
2018-04-05,NA,NA,NA,NA,NA,NA
2018-04-06,8.28699877994925,6.24760807075856,0.207174969498731,4.59020831476871,0.229510415738436,0.436685385237167
2018-04-07,4.80139560432107,1.65583281848318,0.120034890108027,0.695553697618968,0.0347776848809484,0.154812574988975
2018-04-08,3.80270257433304,3.81597267085055,0.0950675643583259,3.05543215598394,0.152771607799197,0.247839172157523
2018-04-09,6.92099893772334,3.51990182594815,0.173024973443083,2.13570203840348,0.106785101920174,0.279810075363257
2018-04-10,7.76525511734851,3.4733640140925,0.194131377933713,1.9203129906228,0.0960156495311399,0.290147027464853
2018-04-11,7.74170591864924,6.27136240471744,0.193542647966231,4.72302122098759,0.236151061049379,0.42969370901561
2018-04-12,8.02985920703697,8.30565446532406,0.200746480175924,6.69968262391666,0.334984131195833,0.535730611371757
2018-04-13,5.63699315724176,9.27598537699287,0.140924828931044,8.14858674554452,0.407429337277226,0.54835416620827
2018-04-14,NA,NA,NA,NA,NA,NA
2018-04-15,NA,NA,NA,NA,NA,NA
2018-04-16,NA,NA,NA,NA,NA,NA
2018-04-17,NA,NA,NA,NA,NA,NA
2018-04-18,8.15892675084492,7.7885447933291,0.203973168771123,6.15675944316011,0.307837972158006,0.511811140929128
2018-04-19,12.9338713447076,7.04800090735653,0.323346783617691,4.461226638415,0.22306133192075,0.546408115538441
2018-04-20,10.2043119401624,7.29906728723966,0.25510779850406,5.25820489920718,0.262910244960359,0.518018043464419
2018-04-21,8.85094165710105,10.2502331233286,0.221273541427526,8.48004479190843,0.424002239595422,0.645275781022948
2018-04-22,8.48220762100971,9.12635282752229,0.212055190525243,7.42991130332035,0.371495565166018,0.58355075569126
