"date","K600_daily_50pct","depth_m","Q_m3s","A_m2","v_ms","v_mday","O2TurnL_m","O2TurnL_km"
2018-02-19,NA,1.34116901806388,56.7920571428571,282.852545909671,0.200783263096361,17347.6739315256,NA,NA
2018-02-20,1.23902363381378,1.34293514876852,57.0568822916667,283.225022875281,0.201454241974912,17405.6465066324,42143.618648476,42.143618648476
2018-02-21,1.25104311990547,1.35289759244315,58.5036885416667,285.32610224626,0.205041487901353,17715.5845546769,42481.9519154914,42.4819519154914
2018-02-22,1.27679949639253,1.36018518854515,59.5847458333333,286.863056264172,0.207711465565861,17946.2706248904,42167.0058821197,42.1670058821197
2018-02-23,1.72340238872576,1.40097054537295,66.3527739583333,295.464688019154,0.224570910328316,19402.9266523665,33775.5014951196,33.7755014951196
2018-02-24,2.08526410206711,1.53248929408803,89.40734375,323.201992123166,0.276629927812848,23900.8257630301,34385.3218486867,34.3853218486867
2018-02-25,3.61022029886277,1.53176828674189,89.2465947916667,323.049931673864,0.276262540373374,23869.0834882595,19834.593054428,19.834593054428
2018-02-26,3.73872363260074,1.51464470353929,85.9208354166667,319.438567976436,0.268974519767459,23239.3985079085,18647.5927013701,18.6475927013701
2018-02-27,3.66241056959045,1.5004056202568,83.18355625,316.435545312159,0.262876776905517,22712.5535246367,18604.5936901961,18.6045936901961
2018-02-28,3.78377887905308,1.48802510366602,80.8946052083333,313.824494363164,0.257770208066425,22271.3459769391,17658.0186280701,17.6580186280701
2018-03-01,3.7751577364953,1.48358756449411,80.1424427083333,312.888617351807,0.256137290600835,22130.2619079122,17586.2282738339,17.5862282738339
2018-03-02,3.55379923005239,1.44033182798906,72.81841875,303.765982522893,0.239718806382515,20711.7048714493,17484.1375643587,17.4841375643587
2018-03-03,3.05044228395395,1.24848741802532,44.62550625,263.30599646154,0.169481541817139,14643.2052130008,14401.0643538751,14.4010643538751
2018-03-04,3.31390869801939,1.2673050452652,46.9395125,267.27463404643,0.17562277343478,15173.807624765,13736.4746655518,13.7364746655518
2018-03-05,1.49559344465083,1.24267375353588,43.9751052083333,262.079894620717,0.167792746070714,14497.2932605097,29080.0149847426,29.0800149847426
2018-03-06,1.31298651808761,1.2790789393587,48.6665447916667,269.757748310749,0.180408329682545,15587.2796845719,35614.8661159333,35.6148661159333
2018-03-07,1.28926006155569,1.33347174407002,56.736840625,281.229190824367,0.20174591570202,17430.8471166545,40560.1188691631,40.5601188691631
2018-03-08,1.25894125414698,1.23975308772253,43.5061177083333,261.463926200682,0.166394341049331,14376.4710666622,34258.4795421688,34.2584795421688
2018-03-09,1.35951614551568,1.19672606232077,38.8633270833333,252.389526543451,0.153981536459052,13304.0047500621,29357.5139815992,29.3575139815992
2018-03-10,1.33889209107284,1.12262464560707,31.03314375,236.761537758532,0.131073416923192,11324.7432221638,25374.882630958,25.374882630958
2018-03-11,1.34958895165892,1.14304626865578,32.9846583333333,241.068458059505,0.136826935381117,11821.8472169285,26278.7729606048,26.2787729606048
2018-03-12,0.246252425297623,1.21422885151266,40.7496291666667,256.080864784019,0.159127973896196,13748.6569446313,167494.678617048,167.494678617048
2018-03-13,2.95739462175763,1.19890568413393,38.783678125,252.849208783846,0.153386590812531,13252.6014462027,13443.5235819085,13.4435235819085
2018-03-14,3.01371791272268,1.20743671100447,39.73495625,254.648402350843,0.156038505968142,13481.7269156475,13420.3604710977,13.4203604710977
2018-03-15,3.09642419154085,1.21618949677526,40.7186802083333,256.494364869903,0.158750778906922,13716.067297558,13288.9421304379,13.2889421304379
2018-03-16,2.69974427926417,1.22398246449031,41.6448729166667,258.137901761007,0.161328005816143,13938.7397025147,15488.9555387599,15.4889555387599
2018-03-17,2.87949675707145,1.20661913819434,39.6449979166667,254.475976245186,0.155790729253236,13460.3190074796,14023.6160791886,14.0236160791886
2018-03-18,2.99939995905553,1.22113299497151,41.2850083333333,257.536948639492,0.16030712700229,13850.5357729979,13853.3066233947,13.8533066233947
2018-03-19,2.6587963688167,1.2571526426129,45.7050864583333,265.133492327062,0.172385186259127,14894.0800927886,16805.4390333967,16.8054390333967
2018-03-20,2.83799231489494,1.27816414866317,48.22409375,269.564818953063,0.178896096075493,15456.6227009226,16338.9688757787,16.3389688757787
2018-03-21,3.17353627514608,1.24425497385912,44.2110833333333,262.413373986888,0.168478773248586,14556.5660086778,13760.5794419424,13.7605794419424
2018-03-22,2.95815584442243,1.22035993160212,41.208328125,257.373909574888,0.160110743909766,13833.5682738037,14029.248965926,14.029248965926
2018-03-23,2.65031080508803,1.19373086664714,38.25275625,251.757839775881,0.151942661583263,13127.8459607939,14859.9695578246,14.8599695578246
2018-03-24,2.73477945723037,1.19224719612455,38.0580666666667,251.444933662667,0.151357460706385,13077.2846050317,14345.5274652483,14.3455274652483
2018-03-25,3.14865595385405,1.21879090313693,41.0372385416667,257.043001471578,0.159651257986902,13793.8686900684,13142.6255128169,13.1426255128169
